,A2 sentence,B1 sentence,OR sentence
22,Omikron ist zum ersten Mal in Süd-Afrika aufgetaucht.,Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. ,
23,"Menschen, die gerade im Süden von Afrika waren, sollten sich jetzt auf den Corona-Virus testen lassen.","Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. ","Bisher meldeten sich 31 Menschen. “Neben dem genannten einen positiven Ergebnis liegt für 20 Personen bereits ein negatives Testergebnis vor, bei elf Personen sind die Testungen aktuell im Gange”, hieß es. "
24,31 Personen haben sich deswegen auch schon gemeldet.,"31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. ","“Neben dem genannten einen positiven Ergebnis liegt für 20 Personen bereits ein negatives Testergebnis vor, bei elf Personen sind die Testungen aktuell im Gange”, hieß es. "
25,20 von ihnen wurden negativ getestet.,"31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. ","Das Land Tirol forderte alle Personen, die in den vergangenen 14 Tagen aus den Ländern Südafrika, Lesotho, Botswana, Simbabwe, Mosambik, Namibia und Eswatini zurückgekehrt sind, auf, einen PCR-Test zu machen. "
26,Die anderen werden noch getestet.,Beim Rest finden die Tests derzeit statt. ,
27,In Peking in China finden derzeit die Olympischen Winterspiele statt.,,
28,Der Österreicher Matthias Mayer hat dort am Dienstag den Super-G gewonnen und damit die Gold-Medaille bekommen.,Der Ski-Rennläufer Matthias Mayer gewann den Super-G und holte die Goldmedaille. ,Er kürte sich wie schon 2018 zum Super-G-Olympiasieger und ist damit nach seinem Olympia-Abfahrts-Gold 2014 in Sotschi sowie Abfahrts-Bronze am Montag erfolgreichster alpiner Österreicher bei Olympia. 
29,Mayer gewann schon im Jahr 2014 und im Jahr 2018 eine Gold-Medaille.,Mayer gewann schon 2014 und 2018 eine Goldmedaille. ,Er kürte sich wie schon 2018 zum Super-G-Olympiasieger und ist damit nach seinem Olympia-Abfahrts-Gold 2014 in Sotschi sowie Abfahrts-Bronze am Montag erfolgreichster alpiner Österreicher bei Olympia. 
30,Das hat bisher noch kein Schi-Rennfahrer aus Österreich geschafft.,Damit ist er der erfolgreichste österreichische Ski-Rennfahrer bei Olympischen Spielen überhaupt. ,Benjamin Karl holte im Secret Garden in Zhangjiakou sensationell mit 36 Jahren Gold nach einem Finalsieg über den Slowenen Tim Mastnak. 
31,Der österreichische Snowboarder Benjamin Karl gewann den Parallel-Riesentorlauf.,Der 36-jährige Benjamin Karl holte im Parallel-Riesentorlauf die Gold-Medaille. ,Die 23-jährige Kärntnerin holte also Silber. 
32,Er holte sich damit die Gold-Medaille.,Der 36-jährige Benjamin Karl holte im Parallel-Riesentorlauf die Gold-Medaille. ,Und er übertraf mit seinem vierten olympischen Edelmetall in der Ewigen Bestenliste u.a. auch den legendären Toni Sailer (1956 dreimal Gold) sowie auch Hermann Maier (2-1-1). 
33,Und die österreichische Snowboarderin Daniela Ulbing kam im Parallel-Riesentorlauf auf den 2. Platz.,Bei den Frauen kam Daniela Ulbing im Parallel-Riesentorlauf auf den 2. Platz und gewann damit die Silber-Medaille. ,Der Dienstag war auch ein Jubeltag für Österreichs Snowboarder im olympischen Parallel-Riesentorlauf: 
34,Damit gewann sie die Silber-Medaille.,Bei den Frauen kam Daniela Ulbing im Parallel-Riesentorlauf auf den 2. Platz und gewann damit die Silber-Medaille. ,
35,In England ist ein Mann über 70 Jahre lang ohne Führerschein und ohne Versicherung mit dem Auto gefahren.,Ein Mann ist in England mehr als 70 Jahre lang ohne Führerschein oder Versicherung Auto gefahren. ,Ein Mann ist in England nach eigenen Angaben mehr als 70 Jahre lang ohne Führerschein oder Versicherung Auto gefahren. 
36,Der Mann geriet mit seinem Mini in eine Polizei-Kontrolle.,Der 1938 geborene Pensionist geriet mit seinem Mini One in eine Verkehrskontrolle. ,"Wie die Polizei mitteilte, geriet der 1938 geborene Mann in der Nähe von Nottingham mit seinem Mini One in eine Routinekontrolle. "
37,Er hatte keine Papiere.,Papiere konnte er nicht vorweisen. ,Papiere konnte er nicht vorweisen. 
38,"Der Polizei sagte er, dass er Auto fährt seit er 12 ist und dass er nie einen Führerschein oder eine Versicherung hatte.","Er sagte aber der Polizei, dass er seit seinem zwölften Lebensjahr Auto fährt und nie einen Führerschein oder eine Versicherung gehabt hat. ","Er gab aber an, seit seinem zwölften Lebensjahr hinter dem Steuer zu sitzen, ohne je einen Führerschein oder eine Versicherung gehabt zu haben. "
39,"Irgendwie schaffte er es, dass die Polizei ihn nie anhielt.","„Irgendwie hat er es geschafft, nie von der Polizei angehalten zu werden“, postete die englische Polizei auf Facebook. ","""Irgendwie hat er es geschafft, nie von der Polizei angehalten zu werden"", hieß es weiter in dem Facebook-Post, dessen Authentizität ein Polizeisprecher der Deutschen Presse-Agentur am Freitag bestätigte. "
40,Zum Glück hatte der Mann noch nie einen Unfall.,Zum Glück war der Mann auch nie in einen Unfall verwickelt. ,"Glücklicherweise sei der Mann auch nie in einen Unfall verwickelt gewesen, so die Mitteilung weiter. "
41,Am Montag hat der Gesundheits-Ausschuss vom Nationalrat die Corona-Impf-Pflicht beschlossen.,Im Gesundheits-Ausschuss des Nationalrats ist am Montag über die geplante Corona-Impflicht gesprochen und schließlich beschlossen worden. ,Der Entwurf zum Impfpflicht-Gesetz hat am Montagabend mit breiter Mehrheit den Gesundheitsausschuss des Nationalrates passiert. 
42,Die Impf-Pflicht soll für alle ab 18 Jahren in Österreich gelten.,Ab Februar soll sie für alle ab 18 Jahren in Österreich gelten. ,"Der Plan sieht vor, dass die Corona-Schutzimpfung ab Februar für alle Personen ab 18 Jahren mit Haupt- oder Nebenwohnsitz in Österreich verpflichtend wird. "
43,Nun muss der Nationalrat am Donnerstag darüber entscheiden.,Der Nationalrat entscheidet am Donnerstag über die Impfpflicht. ,"Ausnahmen gibt es für Schwangere und all jene, die aus medizinischen Gründen nicht geimpft werden können sowie für Genesene (bis sechs Monate nach der Genesung). "
44,"Ausnahmen gibt es für Schwangere und für Menschen, die sich aus medizinischen Gründen nicht impfen können.","Ausnahmen gibt es für Schwangere und Personen, die aus medizinischen Gründen nicht geimpft werden können. ",Nach dem nun erfolgten Ausschuss-Beschluss soll das Gesetz am Donnerstag im Plenum des Nationalrates beschlossen werden. 
45,Ab Anfang Februar bis Mitte März sollen alle Haushalte darüber informiert werden.,Ab Anfang Februar bis Mitte März wird jeder Haushalt über die Impflicht informiert. ,
46,Ab Mitte März soll die Impfpflicht auch kontrolliert werden.,Ab Mitte März wird sie kontrolliert. ,Bis Mitte März ist eine Eingangsphase ohne Strafen vorgesehen. 
47,"Wenn man als ungeimpft erkannt wird, muss man eine Strafe zahlen.","Wird man als ungeimpft ertappt, muss man mit einer Anzeige rechnen und eine Strafe zahlen. ",
48,Die Strafe kann 600 bis 3.600 Euro betragen.,Diese kann 600 Euro bis 3.600 Euro betragen. ,Der Strafrahmen reicht von 600 bis 3.600 Euro. 
49,In der spanischen Region Katalonien gab im Jahr 2017 eine Abstimmung.,In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. ,
50,"Dabei stimmten viele Menschen dafür, dass Katalonien unabhängig von Spanien wird.",In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. ,
51,Die damalige Regierung von Spanien sagte: Die Abstimmung ist gegen das Gesetz.,Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. ,
52,Die spanische Regierung entließ auch viele Politiker von Katalonien.,Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. ,
53,Dadurch wurde der Streit noch stärker.,Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. ,"Nach einem Treffen in Barcelona kündigten Spaniens Ministerpräsident Pedro Sanchez und der katalanische Regionalpräsidenten Quim Torra am Donnerstagabend an, sie seien entschlossen, einen Ausweg aus der Krise zu finden. "
54,Heuer bekam Spanien eine neue Regierung.,Heuer bekam Spanien eine neue Regierung. ,"Nach einem Treffen in Barcelona kündigten Spaniens Ministerpräsident Pedro Sanchez und der katalanische Regionalpräsidenten Quim Torra am Donnerstagabend an, sie seien entschlossen, einen Ausweg aus der Krise zu finden. "
55,Der neue Premier-Minister von Spanien heißt Pedro Sanchez (sprich: Santsches).,Premier-Minister von Spanien ist nun Pedro Sanchez. ,Damals hatte der seit Juni amtierende Sanchez Torra in Madrid empfangen. 
56,Er will mit dem Streiten wegen Katalonien aufhören.,Er will den Streit mit Katalonien beenden. ,
57,Auch der Präsident von Katalonien will nun mit dem Streit aufhören.,Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. ,
58,In Spanien gibt es seit einiger Zeit politischen Streit wegen Katalonien.,,
59,"Man weiß aber noch nicht, wann der Streit wirklich vorbei sein wird.",,
60,Österreich ist wegen dem Corona-Virus seit einer Woche wieder im Lockdown.,Nach einer Woche Lockdown in Österreich hat die Regierung am Montag Gespräche zur Corona-Lage gestartet. ,
61,Die Regierung hat deshalb am Montag mit Experten geredet.,Nach einer Woche Lockdown in Österreich hat die Regierung am Montag Gespräche zur Corona-Lage gestartet. Dazu trafen sich mehrere Regierungs-Mitglieder mit den Sozialpartnern und Experten aus Wissenschaft und Wirtschaft. ,"An den Treffen im Kanzleramt nahmen neben Bundeskanzler Alexander Schallenberg (ÖVP), Vizekanzler Werner Kogler (Grüne), Gesundheitsminister Wolfgang Mückstein (Grüne) und Tourismusministerin Elisabeth Köstinger (ÖVP) auch die Sozialpartner, die Industriellenvereinigung sowie Vertreter aus Wissenschaft und Wirtschaft teil. "
62,Dabei haben sie über die aktuellen Corona-Zahlen gesprochen.,Besprochen wurde die aktuelle Entwicklung in der Corona-Krise und die neue Corona-Variante Omikron. ,"Es habe eine “Bestandsaufnahme” gegeben, hieß es von allen Seiten im Anschluss an die Gespräche. "
63,Sie haben auch die neue Corona-Art mit dem Namen Omikron besprochen.,Besprochen wurde die aktuelle Entwicklung in der Corona-Krise und die neue Corona-Variante Omikron. ,"Der Austausch zwischen Bundesregierung, Sozialpartnern und Experten zur aktuellen Pandemie-Lage in Österreich hat am Montag – wie im Vorfeld angekündigt – zu keinen konkreten Ergebnissen geführt. "
64,Wichtige Entscheidungen gab es bei dem Treffen aber nicht.,Wichtige Entscheidungen gab es bei dem Treffen nicht. ,Keine Festlegung gab es daher auch für die Zeit nach dem anvisierten Lockdown-Ende (für Geimpfte und Genesene) ab dem 12. Dezember. 
65,Der Lockdown soll noch bis zum 12. Dezember dauern.,"Man weiß auch noch nicht, wie es nach dem geplanten Lockdown-Ende am 12. Dezember weiter gehen soll. ","Es gelte nun, in den nächsten Tagen das Infektionsgeschehen genau zu beobachten, erklärte die Bundesregierung in einer knappen Presseaussendung im Anschluss an die Gespräche. "
66,"Man weiß noch nicht, wie es dann weitergehen soll.","Man weiß auch noch nicht, wie es nach dem geplanten Lockdown-Ende am 12. Dezember weiter gehen soll. ","Für den Dienstag ist ein weiterer “Runder Tisch” angesetzt, dabei wird es um die ab 1. Februar 2022 geplante Impfpflicht gehen. "
67,Die Regierung will die Corona-Lage in Österreich noch weiter beobachten.,Die Regierung will die Corona-Lage in den nächsten Tagen jetzt erstmal weiter beobachten. ,
68,Am Dienstag will die Regierung dann über die geplante Impf-Pflicht reden.,Am Dienstag will die Regierung dann mit den Experten über die geplante Impf-Pflicht beraten. ,
69,Die Corona-Regeln in Österreich werden ab Samstag weniger streng.,Ab kommenden Samstag gilt die 2G-Regel in Geschäften und Museen nicht mehr. ,"Neben den bereits bekannten Lockerungen ab kommendem Samstag wie dem Wegfall der 2G-Regel in Geschäften und Museen kündigte die Regierung am Dienstag in einer Aussendung an, dass die 2G-Regel bei körpernahen Dienstleistungen ebenfalls ab 12. Februar fällt. "
70,Dann gilt die 2G-Regel in Museen und in Geschäften nicht mehr.,Ab kommenden Samstag gilt die 2G-Regel in Geschäften und Museen nicht mehr. ,"Neben den bereits bekannten Lockerungen ab kommendem Samstag wie dem Wegfall der 2G-Regel in Geschäften und Museen kündigte die Regierung am Dienstag in einer Aussendung an, dass die 2G-Regel bei körpernahen Dienstleistungen ebenfalls ab 12. Februar fällt. "
71,"Das heißt, man muss nicht mehr genesen oder geimpft sein.","Man muss nicht mehr geimpft oder genesen sein,  es genügt auch ein negativer Corona-Test. ","Neben den bereits bekannten Lockerungen ab kommendem Samstag wie dem Wegfall der 2G-Regel in Geschäften und Museen kündigte die Regierung am Dienstag in einer Aussendung an, dass die 2G-Regel bei körpernahen Dienstleistungen ebenfalls ab 12. Februar fällt. "
72,Es genügt auch ein negativer Corona-Test.,"Man muss nicht mehr geimpft oder genesen sein,  es genügt auch ein negativer Corona-Test. ","Das heißt, für den Friseurbesuch braucht man künftig nicht mehr unbedingt einen Impf- oder Genesungsnachweis, sondern es reicht auch ein negatives Testergebnis (3G-Regel). "
73,Ab Samstag gilt 2G-Regel auch beim Friseur nicht mehr.,Ab Samstag gilt 2G auch beim Friseur nicht mehr. ,Es muss allerdings eine FFP2-Maske getragen werden. 
74,Man muss aber eine FFP2-Maske tragen.,Allerdings muss man eine FFP2-Maske tragen. ,"Außerdem gibt es keine Personenobergrenze bei Veranstaltungen mehr, hier muss man aber weiterhin geimpft oder genesen sein. "
75,Das hat die österreichische Regierung am Dienstag angekündigt.,Am Dienstag hat die österreichische Regierung weitere Lockerungen angekündigt. ,Bei Veranstaltungen bleiben sowohl die 2G-Regel als auch die FFP2-Maskenpflicht indoor wie outdoor. 
76,Bei Veranstaltungen können ab Samstag wieder mehr Menschen dabei sein.,"Außerdem gibt es bei Veranstaltungen keine Grenze mehr, wie viele Personen teilnehmen dürfen. ","Nachtgastronomie ist weiterhin nicht möglich, die Sperrstunde bleibt bei 24 Uhr. "
77,Es gibt keine Obergrenze mehr.,"Außerdem gibt es bei Veranstaltungen keine Grenze mehr, wie viele Personen teilnehmen dürfen. ",
78,Bei Veranstaltungen gilt aber immer noch die 2G-Regel.,Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. ,
79,Außerdem muss man bei Veranstaltungen eine FFP2-Maske tragen.,Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. ,
80,Das gilt drinnen und draußen.,Bei Veranstaltungen drinnen und draußen gilt aber weiterhin die 2G-Regel und die FFP2-Maskenpflicht. ,
81,In Österreich sind die Energie-Preise im letzten Jahr stark gestiegen.,Energiepreise wurden für die österreichischen Haushalte im letzten Jahr viel teurer. ,
82,Im Dezember 2021 kostete Energie um rund 1 Viertel mehr als noch vor einem Jahr.,"Im Dezember 2021 war Energie insgesamt um 24,1 Prozent teurer als ein Jahr davor. ","Die Energiepreise für die heimischen Haushalte waren im Dezember um 24,1 Prozent höher als ein Jahr davor, blieben aber unverändert gegenüber dem Vormonat November. "
83,"Besonders Heizöl, Benzin und Diesel kosten viel mehr.","Heizöl kostete sogar um 44,3 Prozent mehr, Diesel wurde um 33,9 Prozent teurer und Superbenzin um 31,3 Prozent. ","Heizöl kostete binnen Jahresfrist um 44,3 Prozent mehr, jedoch um 5,0 Prozent weniger als im November. Diesel wurde im Jahresabstand um 33,9 Prozent teurer und Superbenzin um 31,3 Prozent. "
84,Auch Gas und Strom kosteten deutlich mehr und werden wahrscheinlich noch teurer werden.,"Der Preis für Erdgas stieg um 27,7 Prozent, und für Strom musste man um 12,4 Prozent mehr bezahlen. ","Erdgas verteuerte sich auch binnen Jahresfrist besonders kräftig, nämlich um 27,7 Prozent. Für Strom musste um 12,4 Prozent tiefer in die Tasche gegriffen werden, für Holzpellets um 10,6 und für Brennholz um 9,7 Prozent. "
85,Deshalb müssen auch die Haushalte in Österreich mehr für die Energie bezahlen.,Energiepreise wurden für die österreichischen Haushalte im letzten Jahr viel teurer. ,"Fernwärme wurde nur um 3,4 Prozent kostspieliger, weniger als der VPI-Anstieg. "
86,,,"Für Strom und Gas haben viele Versorger schon weitere Preiserhöhungen für Jänner bzw. Februar angekündigt, andere haben solche bereits umgesetzt. "
87,In Österreich soll es ab Februar eine Corona-Impf-Pflicht geben.,Ab Februar soll es in Österreich eine Corona-Impfpflicht geben. ,"Ab Februar soll die Impfpflicht in Kraft treten, ab Mitte März der Impfstatus von der Polizei bei jeder Amtshandlung auch kontrolliert werden. "
88,"Die Polizei soll dann kontrollieren, ob die Menschen sich daran halten.","Ab Mitte März soll die Polizei kontrollieren, ob man geimpft ist oder nicht. ","Ab Februar soll die Impfpflicht in Kraft treten, ab Mitte März der Impfstatus von der Polizei bei jeder Amtshandlung auch kontrolliert werden. "
89,Polizei-Gewerkschafter von den Parteien SPÖ und der FPÖ wollen das aber nicht.,Polizei-Gewerkschafter von der SPÖ und der FPÖ kritisieren diese Pläne aber. ,Massive Kritik daran kommt nun von sozialdemokratischen und freiheitlichen Gewerkschaftern. 
90,"Sie sagen, dass die Gesundheits-Behörden diese Kontrollen machen sollen.","Sie verlangen, dass Beamte der Gesundheitsämter die Kontrollen durchführen und nicht die Polizei. ","Die Überwachung der Impfpflicht müsse hauptsächlich von Beamten der Gesundheitsämter durchgeführt werden, forderten die beiden Gewerkschafter Hermann Greylinger (FSG) und Werner Herbert (AUF) am Dienstag im “Ö1”-Morgenjournal. "
91,"Gesundheits-Minister Wolfgang Mückstein will aber, dass die Polizei die Kontrollen macht.","Gesundheitsminister Wolfgang Mückstein will aber, dass die Polizei die Impf-Kontrollen durchführt. ","Sie werde “für politische Zwecke zweckwidrig verwendet”, meinte Herbert. "
92,,,“Die Polizei hat diesen gesetzlichen Auftrag auszuführen. 
93,In Australien hat es starke Stürme mit Hagel gegeben.,In Australien hat es starke Stürme mit Hagel gegeben. ,Heftige Hagelstürme mit teilweise tennisballgroßen Hagelkörnern haben in der australischen Großstadt Sydney Millionenschäden verursacht. 
94,"Wenn es hagelt, fallen Eis-Körner vom Himmel.",,Heftige Hagelstürme mit teilweise tennisballgroßen Hagelkörnern haben in der australischen Großstadt Sydney Millionenschäden verursacht. 
95,Normalerweise sind die Hagel-Körner so klein wie Erbsen.,,Betroffen waren Sydney und die umliegenden Regionen der Central Coast. 
96,In der Stadt Sydney waren die Hagel-Körner diesmal aber so groß wie Tennis-Bälle.,Die Hagelkörner waren teilweise so groß wie Tennisbälle. Vor allem die Stadt Sydney war von den Stürmen und vom Hagel stark betroffen. ,
97,"Weil die Hagel-Körner so groß waren, machten sie viele Dinge kaputt.","Weil die Hagelkörner so groß waren, richteten sie große Schäden an. ","Die Zahlen dürften in den kommenden Tagen kräftig ansteigen, wenn sich weitere Betroffene wegen Schäden an Häusern, Geschäften oder Autos bei den Versicherungen melden. "
98,Zum Beispiel Auto-Scheiben und Dächer von Häusern.,Sie zerstörten zum Beispiel Autoscheiben und beschädigten Hausdächer. ,"Bei den Versicherungen gingen bis Freitagnachmittag 25.000 Schadensmeldungen in Höhe von insgesamt 125 Millionen australischen Dollar (rund 78 Millionen Euro) ein, wie der Versicherungsverband des Landes mitteilte. "
99,Die Haushalte in Österreich mussten im Oktober viel mehr für Energie bezahlen.,Die Energie-Preise für Haushalte in Österreich sind im Oktober um 23 Prozent gestiegen. ,"Die Energiepreise für die heimischen Haushalte waren im Oktober um 22,8 Prozent höher als ein Jahr davor. "
100,Die Energie-Preise stiegen um 23 Prozent.,Die Energie-Preise für Haushalte in Österreich sind im Oktober um 23 Prozent gestiegen. ,
101,Das ist fast um ein Viertel mehr.,Das ist fast um ein Viertel teurer als noch im Jahr davor. ,"Heizöl kostete 60,8 Prozent mehr, Diesel 34,8 und Super 29,4 Prozent, geht aus dem von der Österreichischen Energieagentur errechneten Energiepreisindex (EPI) hervor. "
102,Vor allem Heiz-Öl und Sprit wurden teurer.,Teurer wurden vor allem Heizöl und Sprit: ,"Heizöl kostete 60,8 Prozent mehr, Diesel 34,8 und Super 29,4 Prozent, geht aus dem von der Österreichischen Energieagentur errechneten Energiepreisindex (EPI) hervor. "
103,Heiz-Öl wurde sogar um mehr als die Hälfte teurer.,Heizöl kostete 61 Prozent mehr und Diesel fast 35 Prozent. ,Teurer wurden vor allem Heizöl und Sprit. 
104,Sprit kostete um ein Drittel mehr.,Heizöl kostete 61 Prozent mehr und Diesel fast 35 Prozent. ,"Gas kostete um 15,6 Prozent mehr, Strom um 9,6 Prozent. "
105,Auch Strom und Gas wurden teurer.,Auch Strom und Gas wurden teurer. ,
106,Die Kosten für Strom und Gas werden in nächster Zeit weiter ansteigen.,Die Kosten für Strom und Gas sollen auch in nächster Zeit noch weiter steigen. ,"Besonders Strom zeige preislich weiter nach oben, verweist die Energieagentur auf schon verschiedentlich erfolgte Ankündigungen von Tariferhöhungen. Bei Gas gebe es ebenfalls ein Preisplus. "
107,"Die Strom-Firmen und Gas-Anbieter haben angekündigt, ihre Preise weiter zu erhöhen.",Der Grund dafür sind Preis-Erhöhungen bei den heimischen Strom-Firmen und Gas-Anbietern. ,"Die von den kundenstarken EnergieAllianz-Partnern EVN, Wien Energie und Energie Burgenland avisierte Strompreiserhöhung per 1. Jänner 2022 lasse eine rund 50-prozentige Verteuerung des Arbeitspreises für Strom annehmen. "
108,Die jungen Menschen in Österreich fühlen sich wegen der Corona-Krise schlecht.,Die Jugend Österreichs fühlt sich wegen der Corona-Pandemie schlecht. ,Der neue Jugend Trend Monitor von Marketagent.com und der Eventagentur DocLX zeigt die Stimmung der jungen Generation nach knapp zwei Jahren Corona und sie ist schlecht.
109,Das ergab eine Umfrage.,Das hat eine Umfrage unter 2.500 Personen von 14 bis 24 Jahren ergeben. ,"Auch sonst halten sich die positiven Aussagen der 2.500 im Jänner 2022 befragten Jugendlichen und jungen Erwachsenen im Alter zwischen 14 und 24 Jahren in Grenzen, sie wünschen sich Reisen, Nachgastronomie und gemeinsame Erlebnisse mit Freunden."
110,"Rund 2 Drittel der jungen Österreicher fühlen sich gelangweilt, gestresst und überfordert.",Fast 2 Drittel der jungen Österreicher leiden unter Langeweile und Stress und fühlen sich überfordert. ,"Stattdessen sind die Emotionen junger Menschen seit Ausbruch der Pandemie überwiegend von Langeweile (64,9 Prozent), Stress (63 Prozent), Überforderung (62,5 Prozent), Gefühlen der Einsamkeit (59,9 Prozent), Hoffnungslosigkeit (58 Prozent), Depression (56,7 Prozent) und Wut (52,5 Prozent) geprägt."
