,de,en,es,fr,pl
10,"Das heißt, alle Fraktionen, mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig, nur Ihre Fraktion war der Meinung, so zu verfahren, wie Sie es hier vorgeschlagen haben.","This means that all the Groups with the exception of the non-attached Members - but, of course, they are not a Group - were in agreement; only your Group thought that we should proceed as you have proposed here.","Según palabras de su Presidente, está en condiciones de hacerlo.","En conséquence, il me semble qu'il doit anticiper et établir les lignes directrices de la révision à mi-parcours de 2003, voire influencer la seconde phase de programmation qui suivra 2003.",Oczywiście kwestie dotyczące nienawiści rasowej trzeba traktować bardzo poważnie.
11,Alle anderen waren anderer Meinung.,All of the others were of a different opinion.,"Dado que la Comisión está representada por la Vicepresidenta, Sra. de Palacio, creo que antes de votar sería conveniente conocer la situación de la Comisión en relación con su disponibilidad para presentar el programa, tal como se había convenido); o bien el Parlamento no está en condiciones de examinar este programa, como parece que pretenden algunos.","En peu de mots, je voudrais dire que nous entrons dans une période de gestion de la programmation 2000-2006, qui ne doit pas être une période de routine, pour la simple et bonne raison que nous avons deux grands défis à relever.","Dlatego dziwi mnie, iż Komisja Europejska nie podejmuje stanowczych działań przeciw wzrastającym w siłę w niektórych krajach partiom o charakterze faszystowskim."
12,Das war der Beschluß.,That was the decision.,"En mi opinión, esta segunda hipótesis significaría hacer dejación de nuestras responsabilidades como Parlamento, además de introducir una tesis original, un método desconocido consistente en dar a conocer a los grupos políticos por escrito el discurso programático de la Comisión una semana antes -y no el día antes, como se había convenido-, teniendo en cuenta que el programa legislativo se discutirá en febrero, de tal manera que podríamos prescindir del debate, porque al día siguiente la prensa e Internet lo habrían dado a conocer a todos los ciudadanos y el Parlamento no tendría ya por qué ocuparse del asunto.","Le premier, c'est celui de l'harmonisation des politiques d'aménagement du territoire national et des politiques de développement régional.",Niektóre z nich mają nawet przedstawicieli pochodzących z wyborów we władzach regionalnych.
13,Jetzt möchte ich zur Sache selbst etwas sagen.,I should now like to comment on the issue itself.,"Como mi Grupo opina que un Parlamento está hecho para escuchar, para debatir y para reflexionar, pensamos que no hay razón alguna que justifique este aplazamiento y creemos que si, la Comisión está en condiciones de hacerlo, estamos perfectamente a tiempo para poder restablecer el acuerdo original entre el Parlamento y la Comisión y proceder con responsabilidad ante nuestras conciudadanas y nuestros conciudadanos.","Les subventions ne suffisent pas pour faire du développement, quand font défaut les infrastructures ou les services publics.",Bojówki tych partii maltretują na ulicach obcokrajowców oraz publicznie wzywają do rewizji granic.
14,"Wir haben Vertrauen zur Kommission, zu Romano Prodi, und die ganz große Mehrheit unserer Fraktion hat Romano Prodi und der Kommission nach einem schwierigen Prozeß, wie jeder weiß, das Vertrauen ausgesprochen.","We have confidence in the Commission and in Romano Prodi and, after a difficult procedure, as everyone knows, the vast majority of our Group supported the vote of confidence in Romano Prodi and the Commission.","Por lo tanto, la propuesta que hace el Grupo del Partido de los Socialistas Europeos y que su Señoría ha mencionado es que el miércoles se mantenga la presentación del programa de legislatura de la Comisión Prodi, incluyendo dentro de este programa también el proyecto de reforma administrativa porque, de no ser así, nos podemos encontrar con una situación paradójica: con la excusa de que no hay texto, se niega por una parte el derecho al Presidente de la Comisión a hablar en este Parlamento y, por otra parte, que tenga lugar un debate sobre la reforma sin que este Parlamento conozca previamente los textos en que se basa.",C'est donc une question de fond que nous devons nous poser : comment pouvons-nous faire en sorte que la politique de l'Union s'articule avec les politiques nationales subsidiaires d'aménagement du territoire.,"Jest to o tyle ważny problem, iż dotyczy w dużej części niektórych krajów tak zwanej starej Unii, które to kraje powinny już dawno poradzić sobie z tym problemem. A władze Wspólnoty wytykają nowym państwom członkowskim nawet nieznaczne incydenty."
15,"Aber wir sind auch der Meinung, daß wir eine Debatte über diese Strategie der Kommission in einem geordneten Verfahren führen müssen, nicht nur aufgrund einer mündlichen Erklärung hier im Europäischen Parlament, sondern auch aufgrund eines Dokumentes, das in der Kommission beschlossen ist und dieses Programm für fünf Jahre beschreibt.","We believe, however, that the Commission's strategic plan needs to be debated within a proper procedural framework, not only on the basis of an oral statement here in the European Parliament, but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period.","Por lo tanto, le ruego, señora Presidenta, que pida a la Comisión que se manifieste en este momento y después que se proceda al voto.","Le deuxième défi est celui de l'élargissement, qui aura naturellement des conséquences considérables tant en termes budgétaires qu'en termes géographiques.",Panie Przewodniczący!
16,Ein solches Dokument gibt es nicht!,There is no such document!,(Aplausos del grupo PSE),Voilà deux chantiers que j'invite le commissaire à mettre en uvre et auxquels je lui demande de nous associer.,"Napad Niemiec hitlerowskich na Polskę 1 września 1939 roku był kolejnym aktem przemocy w stosunku do mojej ojczyzny, w której przez 6 lat wojny zginęło 6 milionów Polaków, 17 procent z 35-milionowego wtedy narodu."
17,Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen.,The Commission will present its programme for the year 2000 in February.,". Señora Presidenta, quiero dejar muy claro que, ante todo, la Comisión tiene el máximo respeto por las decisiones de este Parlamento y, entre ellas, la de establecer su orden del día.","Enfin, en cette période de catastrophes naturelles, je voudrais tout de même évoquer la question de l'emploi des Fonds structurels.","W rocznicę agresji apeluję w imieniu poległych i żyjących o zaprzestanie przemocy, która niekiedy przypomina realizację planów jakich nieudało się osiągnąć w ciągu wojen."
18,"Wir haben gesagt, o. k, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar.","We have said, very well, if the Commission does not wish to introduce the 2000 programme as early as January then we will do it in February.","Por lo tanto, nosotros respetamos lo que en este sentido pueda decidir el Parlamento.",On sait qu'il appartient à chacun des États de redistribuer une partie des enveloppes.,Panie Przewodniczący! Chciałbym przede wszystkim złożyć wyrazy głębokiego współczucia rodzinom wszystkich ofiar klęski żywiołowej w Grecji i w innych krajach.
19,Wir haben dem zugestimmt.,We have agreed to this.,"Pero quiero dejar también muy claro que el Presidente Prodi se comprometió con el Parlamento a incorporar un nuevo debate, como ha recordado el Sr. Barón, que se añade al debate anual sobre el programa legislativo de la Comisión, sobre las grandes líneas de actuación para el próximo período de cinco años, es decir, para esta legislatura.","Il ne faudrait pas, comme ont tendance à le vouloir les États, que l'Europe disparaisse complètement.",Łączę się w bólu z tymi osobami.
20,"Wir wollen ja an sich keinen Streit mit der Kommission, sondern wir sind der Meinung, wenn es eben geht, müssen Kommission und Parlament einen gemeinsamen Weg gehen.","After all, we do not wish to quarrel with the Commission; if at all possible, we believe that the Commission and Parliament need to tread the same path.","Quiero decir, señora Presidenta, que este debate se distinguía, en el acuerdo al que se llegó en el mes de septiembre, de lo que es la presentación anual del programa legislativo de la Comisión.","Aujourd'hui, les opinions publiques, la presse, nous accusent d'être aux abonnés absents alors que nous allons financer une grande part des efforts nationaux.","Sam zostałem dotknięty klęska powodzi dziesięć lat temu, więc wiem, co to znaczy."
21,"Aber wir als Parlament sind auch der Kontrolleur der Kommission. Und nicht alles, was von der Kommission kommt, muß unsere Meinung sein.","However, we in Parliament also have a supervisory role with regard to the Commission and we do not have to agree with everything which comes out of the Commission.","Y quiero decir, señora Presidenta, que, por parte de la Comisión, estamos preparados y dispuestos a tener ese debate cuando convenga, que estábamos preparados para desarrollarlo esta semana, como en principio se había acordado, partiendo de la base de que se presentaba la víspera en un discurso a los grupos parlamentarios.",Je crois qu'il faut que nous soyons capables de le dire haut et fort.,Klęski niestety będą się zdarzać.
22,"Ich möchte, daß wir uns auf eine Debatte über das Fünfjahresprogramm in den Fraktionen vernünftig vorbereiten können.",I should like us to be able to do a reasonable amount of preparation for the debate on the five-year programme in our Groups.,"Por lo tanto, señora Presidenta, quiero reiterar que, por nuestra parte, hemos debatido el programa de actuación para los próximos cinco años y que estamos preparados para, cuando así lo decida el Parlamento, -esta misma semana si ésa es la decisión- venir a exponer el programa para los próximos cinco años y, el mes que viene, el programa para el año 2000, que era lo que estaba perfectamente acordado.","Je pense qu'il faudrait aussi que nous instaurions ou que nous demandions aux États membres qu'ils assurent une information sur les aides européennes, chaque fois qu'elles sont mobilisées pour réparer les dégâts causés par des catastrophes naturelles ou des accidents.",Tym większe znaczenie ma w tej sytuacji powołanie europejskich sił szybkiego reagowania.
23,"Man kann sich nicht vorbereiten, wenn man hier eine Erklärung hört und gar nicht weiß, was Inhalt einer solchen Erklärung ist.",You cannot prepare if you hear a statement in this House and have no idea of its content.,"Señora Presidenta, ¿se ha contabilizado mi voto, que no ha podido ser realizado electrónicamente, porque no tengo la tarjeta?","Monsieur le Président, la priorité accordée aux critères financiers et monétaires renforce la montée des inégalités sous toutes les formes.",Jestem gorącym zwolennikiem jak najszybszego powołania takiej formacji.
24,"Deswegen ist es unsere Empfehlung - und mein Eindruck ist, daß die Kommission auch aufgeschlossen ist für diesen Gedanken -, daß wir im Februar die Debatte über das langfristige Programm der Kommission bis zum Jahre 2005 führen - ich hoffe, die Kommission wird sich bis dahin auch auf ein Programm verständigen, das sie uns vorschlagen wird -, und daß wir gleichzeitig im Februar auch die Debatte über das Legislativprogramm der Kommission für das Jahr 2000 führen.","That is why we would recommend - and it is my impression that the Commission is also open to this idea - that we hold the debate on the Commission's long-term programme up to the year 2005 in February - and I hope that the Commission will agree on a programme before then which it will propose to us - and that, at the same time, in February we also hold the debate on the Commission's legislative programme for the year 2000.","Mi voto era ""a favor"" .","Pour les experts du plan français, par exemple, le scénario le plus probable est aujourd'hui un creusement des différenciations régionales à l'intérieur de chaque pays.","To zastanawiające, że właściwie bez oporów zgadzamy się na powoływanie kolejnych europejskich agencji, choć tych biurokratycznych tworów mamy już kilkadziesiąt, a tam, gdzie w grę wchodzi życie ludzkie, ciągle mamy wątpliwości."
25,"Es ist also auch ein vernünftiger sachlicher Zusammenhang, der uns rät, die Debatte über beide Programme gemeinsam zu führen.",The fact that the subjects are connected also suggests that we should hold the debate on both programmes together.,"Señora Presidenta, la Presidencia ha proclamado el resultado de la votación.","Or, les Fonds structurels ont contribué à freiner ce processus.","Czas z nimi skończyć i, na wzór ONZ-owskich ""błękitnych chełmów”, utworzyć europejskie, może ""czerwone” albo ""białe chełmy” dla obrony nie przed ludźmi, ale przed wciąż bardzo groźną naturą."
26,Deswegen lehnt meine Fraktion den Vorschlag der Sozialistischen Fraktion entschieden ab!,That is why my Group firmly rejects the proposal made by the Socialist Group.,No caben modificaciones.,Notre projet d'une Europe tournée vers la satisfaction des besoins sociaux vise une convergence par le haut des conditions d'existence.,Panie przewodniczący! W ostatni piątek przed siedzibą Komisji Europejskiej w Brukseli protestowali polscy związkowcy ze Stoczni Gdańskiej.
27,(Beifall von der PPE-DE-Fraktion),(Applause from the PPE-DE Group),". Señor Presidente, en primer lugar quiero felicitar al ponente, Sr. Koch, por su magnífico trabajo y por su positiva colaboración con la Comisión a la hora de mejorar los textos, de presentar este informe y esta propuesta; al final, sólo hay una enmienda relativa a los requisitos del examen de aptitud de los consejeros de seguridad para el transporte de mercancías peligrosas por carretera, ferrocarril o vía navegable.",Sa mise en uvre impliquerait certainement une extension d'instruments de redistribution comme les Fonds structurels.,W lipcu Komisja Europejska postawiła ultimatum dając Polsce miesiąc na przedstawienie planów redukcji mocy produkcyjnych Stoczni.
28,"Frau Präsidentin, da ich bei den Sozialisten ein bißchen Gelächter höre - mir wurde gesagt, daß auch weite Kreise der Sozialistischen Fraktion diesen Tagesordnungspunkt gern abgesetzt haben wollen, weil bei der Abstimmung in der Konferenz der Präsidenten das Votum der Arbeitsgruppe der zuständigen Kolleginnen und Kollegen der Sozialistischen Fraktion nicht vorlag.","Madam President, I can hear a ripple of laughter from the Socialists. I was told that large sections of the Socialist Group were also keen to have this item taken off the agenda, because at the vote in the Conference of Presidents no vote was received from the working group of Members of the Socialist Group responsible for this matter.","Entendemos que es importante la colaboración, el trabajo en común por parte de las dos instituciones -Parlamento y Comisión- y que la colaboración que existe con la Comisión de Política Regional, y concretamente con el grupo de transportes, es magnífica.","Nous proposons en particulier un impôt unifié sur le capital, qui permettrait d'alimenter des fonds utilisés pour accompagner l'harmonisation des systèmes de protection sociale et la réduction du temps de travail au niveau européen.","Komisja żąda zamknięcia dwóch z trzech pochylni, w przeciwnym razie gdański zakład będzie musiał zwrócić pomoc publiczną, jaką dostał od polskiego rządu po 1 maja 2004 roku."
29,"Ich weiß nicht, ob diese Information richtig ist, aber wir als EVP-ED-Fraktion wären jedenfalls dankbar, wenn dieser Punkt abgesetzt würde, weil sich das Parlament nämlich schon mehrfach mit dieser Frage befaßt hat.","I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already.","La posición común incluye prácticamente todas las enmiendas aceptadas por la Comisión, armoniza los requisitos mínimos de los exámenes de los consejeros de seguridad y, en segunda lectura, podemos aceptar la enmienda sobre la fecha propuesta, mucho más realista que la planteada en principio por la Comisión, teniendo en cuenta que ya llevamos varios años debatiendo sobre esta cuestión.","Or, la Commission, tenue de présenter des orientations, ne le fait qu'avec regret et de façon floue.","Według unijnych komisarzy celem Komisji nie jest co prawda doprowadzenie do zamknięcia Stoczni, tylko jej modernizacja, jednakże tak poważne ograniczenia mocy produkcyjnej, zamknięcie aż dwóch pochylni, oznaczało by utratę rentowności zakładu oraz w praktyce likwidację wielu stanowisk pracy i w konsekwencji upadek Stoczni."
30,Es gibt auch Beschlüsse gegen eine solche Steuer.,Decisions have also been adopted against a tax of this kind.,"Brevísimamente, quiero agradecer también la intervención de los distintos diputados y decirles a sus Señorías que la seguridad es una prioridad de la Comisión en el ámbito de los transportes.",Le rapport proposé aujourd'hui redonne sa place au politique.,"A Stocznia Gdańska to nie tylko zwykły zakład wytwarzający statki, dający zatrudnienie wielu osobom, ale także jeden z najważniejszych symboli współczesnej historii Polski i zjednoczonej Europy. To miejsce narodzenia ruchu Solidarność."
31,"Deswegen beantragt meine Fraktion, diesen Punkt von der Tagesordnung abzusetzen.",That is why my Group moves that this item be taken off the agenda.,"Y como muy bien ha dicho el Sr. Simpson, nunca se puede dar por sentado o por adquirido o por culminado el proceso.",Il est un des pas vers une politique de l'emploi et du développement durable.,"Jako Parlament Europejski powinniśmy zwrócić się z apelem do Komisji Europejskiej o znalezienie dobrego rozwiązania tej sytuacji, mającego na celu w szczególności dobro zakładu i pracowników."
32,"Frau Präsidentin! Ich will die Debatte nicht wieder aufnehmen, aber ich hatte mich auch gemeldet, um zu dem Antrag von Herrn Barón Crespo Stellung zu nehmen.","Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion.","El proceso de incrementar los márgenes, las garantías de seguridad en los transportes es un proceso que hay que ir mejorando día a día.",C'est ceci qui nous conduira à le voter.,"Jako głos społeczeństwa europejskiego powinniśmy wyrazić naszą solidarność z pracownikami Stoczni, domagając się rozwiązania zapewniającego jednocześnie stabilność Stoczni, jak i poszanowanie symboli historii współczesnej Europy."
33,Sie haben mich auch nicht aufgerufen.,You did not call me either.,"En ese sentido, quiero referirme también muy brevemente a los problemas de los túneles, a que han hecho referencia los Sres. Rack y Swoboda, que, indudablemente, en el caso de Austria, es un asunto muy sensible, por lo que hay que hacer esfuerzos para ver cómo incrementar su seguridad.","Monsieur le Président, Mesdames, Messieurs les Députés, je voudrais vous dire le grand intérêt que j' ai pris à écouter soigneusement les observations, parfois les critiques et suggestions que les uns et les autres vous avez fait à l' instant dans vos interventions, à partir du rapport de Mme Schroedter.",w imieniu grupy UEN. - Pani Przewodnicząca! Zabierając głos w debacie poświęconej lepszemu stanowieniu prawa w Unii Europejskiej w imieniu grupy UEN chcę zwrócić uwagę na następujące kwestie.
34,"Ich bedauere das, aber die Abstimmung ist durchgeführt worden, die Entscheidung ist gefallen, also lassen wir die Dinge.","I regret this, but the vote has already been taken and the decision is made so let us leave the matter there.","En uno de los grandes accidentes ocurridos últimamente, la mercancía transportada no era en sí peligrosa.","Tout le monde comprend, Madame le Rapporteur, Mesdames, Messieurs, les raisons, les délais - j' y reviendrai dans un instant - et quels que soient ces délais ou ces retards, puisque c' est maintenant que nous discutons de ce rapport, je considère, au nom de la Commission, qu' il vient au bon moment, s' agissant des orientations 2000-2006, puisque c' est en ce moment que nous débutons la nouvelle programmation régionale.","Po pierwsze, autorzy sprawozdania popierają proces lepszego stanowienia prawa, mający na celu zwiększenie skuteczności, wydajności, spójności i przejrzystości prawa Unii, przy czym proces ten, także moim zdaniem, powinien odbywać się przy spełnieniu następujących warunków:"
35,"Verehrte Frau Kommissarin, verehrte Präsidentin, liebe Kolleginnen und Kollegen! Ich begrüße den Gemeinsamen Standpunkt des Rates zur Harmonisierung der Ausbildung von Sicherheitsberatern für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraße unumwunden.","Commissioner, Madam President, ladies and gentlemen, I can be quite frank in saying that I welcome the Council's common position on harmonising the training of safety advisers for the transport of dangerous goods by road, rail or inland waterway.","La margarina y unos kilos de pintura que, en principio, no planteaban riesgos, provocaron una verdadera catástrofe.","Madame le Rapporteur, vous avez rappelé à juste titre que s' il incombe en effet principalement aux États membres et aux régions de définir leurs propres priorités en matière de développement, le cofinancement des programmes par notre Union européenne exige, justifie qu' il soit également tenu compte des priorités communautaires telles qu' elles sont débattues et approuvées ici, afin de promouvoir cette dimension communautaire de la cohésion économique et sociale que beaucoup d' entre vous ont rappelée avec force.","niezbędne jest w tej sprawie wspólne działanie Rady, Komisji i Parlamentu Europejskiego;"
36,"Erstens: Wir mußten formal tätig werden, um den Forderungen der Richtlinie 96/35/EG gerecht zu werden, die die Mitgliedstaaten zur Einsetzung von Gefahrgutbeauftragten bzw. Sicherheitsberatern sowie zur Organisation von Ausbildung, Schulung und Prüfung eben dieser Personen verpflichtet, ohne dies explizit auszuführen.","Firstly, we needed to take action on a formal level in order to meet the requirements of Directive 96/35/EC, which obliges the Member States to appoint safety advisers and to organise the training, instruction and examination of these people but does not explain this explicitly.","Por lo tanto, hay que ver cómo se pueden afinar todavía más las exigencias que permitan garantizar un máximo de seguridad.","Aussi, Mesdames et Messieurs, aurais-je souhaité, dans un instant, revenir sur le rôle et la structure des orientations avant d' évoquer les principales remarques ou critiques que vous avez, Madame le Rapporteur, ou vous-mêmes Mesdames et Messieurs, faites les uns ou les autres.","należy prowadzić w tej sprawie szerokie i otwarte konsultacje ze wszystkimi zainteresowanymi stronami, w tym - co chciałbym szczególnie podkreślić - przedsiębiorcami, samorządami i organizacjami pozarządowymi;"
37,"Zweitens: Wir erzielen mit dieser Richtlinie a) ein Mehr an Sicherheit, sowohl bei der Beförderung als auch beim Umschlag von gefährlichen Gütern; b) einen Abbau von Wettbewerbsverzerrungen infolge unterschiedlichster nationaler Ausbildungsstrukturen und Ausbildungskosten sowie c) die Herstellung der Chancengleichheit von Sicherheitsberatern auf dem europäischen Arbeitsmarkt.","Secondly, by adopting this directive we achieve a) an increase in safety when dangerous goods are both transported and transhipped; b) a reduction in distortions of competition resulting from wide variations in national training structures and training costs and c) equal opportunities for safety advisers on the European labour market.","Por último, quisiera decir que hay que contemplar la seguridad en todos los tipos de transporte.","S' agissant du rôle et de la structure de ces orientations, M. le président Hatzidakis, Mme le rapporteur, Mme McCarthy ont rappelé que ces orientations ont pour vocation d' aider les autorités nationales et régionales dans la préparation de leur stratégie de programmation pour chacun des objectifs 1, 2, 3 des Fonds structurels ainsi que leurs liens avec le Fonds de cohésion.",należy zwiększać odpowiedzialność organów wspólnotowych za proces stanowienia prawa oraz pogłębiać ogólną przejrzystość tego procesu;
38,"Drittens garantieren wir mit der Richtlinie, so wie sie jetzt als Gemeinsamer Standpunkt vorliegt, insbesondere da sie sich ausschließlich auf Mindestnormen beschränkt, einen hohen Flexibilitätsgrad und geringe Reglementierung durch die Europäische Union, und wir tragen zur hohen Eigenverantwortung der Mitgliedstaaten bei.","Thirdly, this directive, as it currently stands in the common position, guarantees - in particular because it confines itself exclusively to minimum standards - a high degree of flexibility and modest regulation by the European Union; by adopting it we contribute to the Member States' bearing a high level of individual responsibility.","Esta semana celebraremos aquí un debate para hablar de la seguridad del transporte marítimo, debido a la catástrofe del Erika, y tendremos que discutir, a lo largo de este año, sobre los objetivos, en materia de seguridad, del transporte aéreo.","Il s' agit de présenter les priorités de la Commission, s' appuyant sur les expériences passées lors de la mise en uvre des programmes, tout autant que des politiques communautaires actuelles liées aux interventions structurelles.","każda ocena prawa zmierzająca do jego uproszczenia musi jednak w równym stopniu brać pod uwagę względy gospodarcze, jak również społeczne, ochrony środowiska i zdrowotne;"
39,All dies ist im Sinne der Subsidiarität außerordentlich zu begrüßen.,All of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed.,"Pero quiero decir, Señorías, que la seguridad es un objetivo prioritario de la Comisión.","Et l' objectif est bien que ces priorités puissent contribuer à une meilleure utilisation, à une utilisation optimale, efficace, comme plusieurs d' entre vous l' ont souhaitée, des interventions communautaires, y compris, Monsieur Bradbourn, en utilisant, le moment venu, la réserve de performances qui a notamment cet objectif d' encourager à une utilisation optimale et efficace de l' argent public européen.",wreszcie proces upraszczania prawa nie powinien prowadzić do obniżania standardów zawartych w dotychczasowym dorobku prawnym Unii.
40,Unsere Änderungsanträge aus der ersten Lesung halte ich für sehr zufriedenstellend berücksichtigt.,"Our amendments from the first reading have, I believe, been taken into account very satisfactorily.","Como diré en el debate sobre el Erika, no esperamos a que haya una catástrofe para volcarnos sobre el aspecto de la seguridad, sino que trabajamos en ello al margen de esas circunstancias, que lo único que hacen es mostrar la urgencia de una respuesta eficaz a ese tipo de problemas.","Et quand je parle d' utilisation optimale, j' évoque aussi bien le niveau national que le niveau régional.","Po trzecie, należy z zadowoleniem podkreślić przyjęcie przez wiosenny szczyt Rady Unii w 2007 roku decyzji o zmniejszeniu o 25% obciążeń administracyjnych wynikających z prawa Wspólnoty do roku 2012."
