,en,de
13,"Even of those refugees, only a relatively small proportion knew the full truth and even a smaller fraction was prepared to bear the odium of unpopularity involved in telling the truth.   ","Von diesen wiederum kannte auch nur ein verhältnismäßig kleiner Prozentsatz die volle Wahrheit; und es war natürlich ein noch kleinerer Bruchteil, der bereit war, das Odium der Unpopularität auf sich zu nehmen und die Wahrheit zu sagen."
14,"As long as the Nazis expected victory, their terror organizations were strictly isolated from the people and, in time of war, from the army.","Solange die Nazis sich auf Sieg vorbereiteten, blieben die Terror-Formationen vom Volke, und das heißt im Krieg von der Armee, getrennt."
15,The army was not used to commit atrocities and SS troops were increasingly recruited from “qualified” circles of whatever nationality.,"Die Armee wurde zum Terror nicht herangezogen, und die SS-Truppen wurden in steigendem Maße aus erprobten Leuten gleich welcher Nationalität rekrutiert."
16,"If the planned New Order of Europe should have succeeded, we would have been witnesses of an inter-European organization of terror under German leadership.","Wäre die berüchtigte Neuordnung Europas geglückt, so hätten wir die Herrschaft einer intereuropäischen Terror-Organisation unter deutscher Führung erlebt."
17,The terror would have been exercised by members of all European nationalities with the exception of Jews in an organization graded according to the racial classification of the various countries.,"Der Terror wäre von Angehörigen aller europäischen Nationalitäten - mit Ausnahme der Juden - ausgeübt worden, wäre aber gradmäßig je nach Rassezugehörigkeit der verschiedenen Länder abgestuft worden."
18,"The German people, of course, would not have been spared by it.",Das deutsche Volk wäre natürlich von ihm nicht verschont geblieben.
19,"Himmler was always of the opinion that authority in Europe should be in the hands of a racial “élite,” organized in SS troops without national ties.  ","Himmler war immer der Meinung, daß die Herrschaft in Europa einer Rassen-Elite, verkörpert in den SS-Truppen, zusteht, welche national nicht gebunden bleiben darf."
20,It was only their defeats which forced the Nazis to abandon this concept and pretend to return to old nationalist slogans.,"Erst die Niederlagen haben die Nazis gezwungen, dies Konzept aufzugeben und scheinbar zu alten nationalistischen Schlagworten zurückzukehren."
21,The active identification of the whole German people with the Nazis was part of this trend.,Hierzu gehört die aktive Identifikation des gesamten Volkes mit den Nazis.
22,"National Socialism’s chances of organizing an underground movement in the future depend on no one’s being able to know any longer who is a Nazi and who is not, on there being no visible signs of distinction any longer, and above all on the victorious powers’ being convinced that there really are no differences between Germans.","Die Möglichkeit einer künftigen Untergrundarbeit hängt davon ab, daß niemand mehr wissen kann, wer ein Nazi ist und wer nicht, daß es keinerlei äußere, sichtbare Unterscheidungsmerkmale mehr gibt, daß die Sieger vor allem davon überzeugt werden, daß es Unterschiede unter Deutschen nicht gibt."
23,"To bring this about, an intensified terror in Germany, which proposed to leave no person alive whose past or reputation proclaimed him an anti-Fascist, was necessary.","Hierfür ist natürlich ein verstärkter Terror in Deutschland notwendig, der nach Möglichkeit keinen Menschen lebendig läßt, dessen Vergangenheit oder dessen Bekanntheit dafür bürgen könnten, daß er ein Anti-Faschist ist."
24,"In the first years of the war the regime was remarkably “magnanimous” to its opponents, provided they remained peaceful.","Während in den ersten Kriegsjahren die »Großzügigkeit« des Regimes gegen gegenwärtige und ehemalige Gegner, wenn sie sich ruhig verhielten, bemerkenswert war,"
25,"Of late, however, countless persons have been executed even though, for the reason that for years there has been no freedom of movement, they could not constitute any immediate danger to the regime.","werden neuerdings unzählige Menschen hingerichtet, die, seit Jahren ihrer Freiheit beraubt, eine unmittelbare Gefahr für das Regime nicht bilden können."
26,"On the other hand, prudently foreseeing that in spite of all precautionary measures the Allies might still find a few hundred persons in each city with an irreproachable anti-Fascist record-testified to by former war prisoners or foreign laborers, and supported by records of imprisonment or concentration camp internment-the Nazis have already provided their own trusted cohorts with similar documentation and testimony, making these criteria worthless.","Auf der anderen Seite und in weiser Voraussicht, daß man trotz aller Vorsichtsmaßnahmen auf Grund von Aussagen ehemaliger Kriegsgefangener oder fremder Arbeiter, auf Grund von Gefängnis- und Konzentrationslagerstrafen vielleicht doch noch in jeder Stadt ein paar hundert Leute entdecken könnte mit einem einwandfreien antifaschistischen Rekord, haben die Nazis ihre zuverlässigsten Leute bereits mit allen notwendigen Papieren, Leumundszeugen usw. ausgestattet, so daß alle derartigen Aussagen wertlos sein werden."
27,"Thus in the case of inmates of concentration camps (whose number nobody knows precisely, but which is estimated at several million), the Nazis can safely either liquidate them or let them escape: in the improbable event of their survival (a massacre of the type which occurred in Buchenwald is not even punishable under the war crimes provisions)-it will not be possible to identify them unmistakably.  ","Die Insassen der Konzentrationslager, deren Zahl niemand genau kennt, die aber auf mehrere Millionen geschätzt werden, kann man entweder »liquidieren« oder laufen lassen - eindeutig erkennbar werden sie erst einmal auch im unwahrscheinlichen Fall ihres Überlebens (ein solches Massaker, wie es bereits in Buchenwald stattgefunden hat, fällt noch nicht einmal unter die Kriegsverbrecherbestimmungen) nicht sein."
28,"Whether any person in Germany is a Nazi or an anti-Nazi can be determined only by the One who knows the secrets of the human heart, which no human eye can penetrate.","Ob jemand in Deutschland ein Nazi oder ein Anti-Nazi ist, wird nur noch der ergründen können, der in das menschliche Herz, in das bekanntlich kein menschlich     Auge dringt, zu blicken vermag."
29,"Those, at any rate, those who actively organize an anti-Nazi underground movement in Germany today-and there are such persons in Germany, of course-would meet a speedy death if they failed to act and talk precisely like Nazis.","Die Laufbahn eines Organisators einer Untergrundbewegung, die es natürlich auch in Deutschland gibt, würde ein sofortiges Ende nehmen, wenn er sich nicht in Wort und Tat wie ein Nazi gebärden würde."
30,"In a country where a person attracts immediate attention by failing either to murder upon command or to be a ready accomplice of murderers, this is no light task.","In einem Lande, wo jeder auffällt, der nicht entweder auf Befehl mordet oder ein freudiger Komplize von Mördern zu sein vorgibt, ist das keine leichte Sache."
31,"The most extreme slogan which this war has evoked among the Allies, that the only “good German” is a “dead German,” has this much basis in fact: the only way in which we can identify an anti-Nazi is when the Nazis have hanged him.","So hat selbst das extremste Schlagwort, das dieser Krieg auf unserer Seite hervorgebracht, daß nur ein »toter Deutscher« ein guter Deutscher sei, noch eine Grundlage in den wirklichen Verhältnissen: erst wenn die Nazis einen gehängt haben, können wir wissen, ob er wirklich gegen sie war."
32,There is no other reliable token.  ,Einen anderen Beweis gibt es nicht mehr.
33,II  ,II
34,These are the real political conditions which underlie the charge of the collective guilt of the German people.,"Dies sind die realen politischen Verhältnisse, die der Behauptung von einer Gesamtschuld des deutschen Volkes zugrunde liegen."
35,"They are the consequences of a policy which, in the deepest sense, is a- and anti-national; which is utterly determined that there shall be a German people only if it is in the power of its present rulers; and which will rejoice as at its greatest victory if the defeat of the Nazis involves with it the physical destruction of the German people.","Sie sind das Resultat einer Politik, die wirklich vaterlandslos, wirklich a- und anti-national ist, die völlig konsequent daran festhält, daß es ein deutsches Volk nur geben soll, wenn es in der Macht der augenblicklich Regierenden ist, und die mit höhnischer Genugtuung ihren größten Sieg feiern würde, wenn der Untergang der Nazis die physische Vernichtung des Volkes nach sich ziehen würde."
36,"The totalitarian policy, which has completely destroyed the neutral zone in which the daily life of human beings is ordinarily lived, has achieved the result of making the existence of each individual in Germany depend either upon committing crimes or on complicity in crimes.","Die totale Politik, welche die Atmosphäre von Neutralität, in der das tägliche Leben von Menschen sich abspielt, total zerstört hat, hat es erreicht, die private Existenz jedes Individuums auf deutschem Boden davon abhängig zu machen, daß es Verbrechen entweder begeht oder ihr Komplize ist."
37,"The success of Nazi propaganda in Allied countries, as expressed in the attitude commonly called Vansittartism, is a secondary matter in comparison.","Der Propaganda-Erfolg der Nazis in alliierten Ländern, wie er in dem, was gemeinhin mit Vansittartismus bezeichnet wird, zum Ausdruck kommt, ist dem gegenüber ganz sekundär."
38,"It is a product of general war propaganda, and something quite apart from the specific modern political phenomenon described above.","Er ist wesentlich Kriegspropaganda und kommt damit den eigentlichen, spezifisch modernen politischen Phänomenen noch nicht einmal nahe."
39,All the documents and pseudo-historical demonstrations of this tendency sound like relatively innocent plagiarism of the French literature of the last war-and it makes no essential difference that a few of those writers who twenty-five years ago kept the presses rolling with their attacks on “perfidious Albion” have now placed their experience at the Allies’ disposal.  ,Seine Schriften mitsamt seiner pseudo-historischen Beweisführung wirken wie unschuldige Plagiate aus der französischen Literatur des vorigen Krieges.
40,,"Wobei es denn wirklich gleichgültig ist, daß ein paar der Schreiber, die vor 25 Jahren die Druckerpressen mit dem »perfiden Albion« in Bewegung setzten, ihre Erfahrung diesmal den Alliierten zur Verfügung zu stellen gezwungen waren."
41,"But even the best-intended discussions between the defenders of the “good Germans” and the accusers of the “bad” not only miss the essence of the question, but also plainly fail to apprehend the magnitude of the catastrophe.","Aber auch die ernsteren Diskussionen zwischen den Advokaten der »guten« und den Anklägern der »bösen« Deutschen reden nicht nur an dem Kern der Sache vorbei, sondern haben offenbar von dem Ausmaße des Verhängnisses kaum eine Vorstellung."
42,"Either they are betrayed into trivial general comments on good and bad people, and into a fantastic over-estimation of the power of education, or they simply adopt an inverted version of Nazi racial theory.","Sie werden entweder in die Trivialität einer allgemeinen Feststellung über gute und böse Menschen und in eine phantastische Überschätzung der »Erziehung« gedrängt, oder sie nehmen ohne weitere Besinnung die Rassen-Theorien der Nazis an und kehren sie um."
43,"There is a certain danger in all this only because, since Churchill’s famous statement on the subject, the Allies have refrained from fighting an ideological war and have thus unconsciously given an advantage to the Nazis (who, without regard to Churchill, are organizing their defeat ideologically) and a chance of survival to all racial theories.   ","Hierin liegt nur deshalb eine gewisse Gefahr, weil die Alliierten sich seit Churchills berühmter Erklärung geweigert haben, einen »ideologischen« Krieg zu führen und daher unwissentlich den Nazis, die unbekümmert um Churchill ihre Niederlage ideologisch organisieren, einen Vorsprung und allen Rassen-Theoremen eine Chance des Überlebens gegeben haben."
44,"The true problem however is not to prove what is self-evident, namely, that Germans have not been potential Nazis ever since Tacitus’ times, nor what is impossible, that all Germans harbor Nazi views.","Inzwischen geht es weder darum, das Selbstverständliche zu beweisen, nämlich daß Deutsche nicht seit Tacitus’ Zeiten bereits latente Nazis waren, noch das Unmögliche zu demonstrieren, daß alle Deutschen eine nazistische Gesinnung haben, "
45,"It is, rather, to consider how to conduct ourselves and how to bear the trial of confronting a people among whom the boundaries dividing criminals from normal persons, the guilty from the innocent, have been so completely effaced that nobody will be able to tell in Germany whether in any case he is dealing with a secret hero or with a former mass murderer.","sondern darum, sich zu überlegen, welche Haltung man einnehmen kann, wie man es ertragen kann, sich mit einem Volke konfrontiert zu finden, in welchem die Linie, die Verbrecher von normalen Menschen, Schuldige von Unschuldigen trennt, so effektiv verwischt worden ist, daß morgen niemand in Deutschland wissen wird, ob er es mit einem heimlichen Helden oder einem ehemaligen Massenmörder zu tun hat."""
46,"In this situation we will not be aided either by a definition of those responsible, nor by the punishment of “war criminals.”","Vor dieser Situation wird uns weder eine Definition der Verantwortlichen, noch die Verhaftung der »Kriegsverbrecher« schützen."
47,"Such definitions by their very nature can apply only to those who not only took responsibility upon themselves, but also produced this whole inferno-and yet strangely enough are still not to be found on the lists of war criminals.","Dabei kann man von den Hauptschuldigen, welche nicht nur die Verantwortung auf sich genommen, sondern diese ganze Hölle inszeniert haben, ganz absehen."
48,The number of those who are responsible and guilty will be relatively small.,
49,There are many who share responsibility without any visible proof of guilt.,Auch die in einem weiteren Sinne Verantwortlichen gehören nicht hierher.
50,There are many more who have become guilty without being in the least responsible.,
51,"Among the responsible in a broader sense must be included all those who continued to be sympathetic to Hitler as long as it was possible, who aided his rise to power, and who applauded him in Germany and in other European countries.","Denn zu ihnen gehören alle jene, welche in Deutschland und im europäischen Ausland solange wie möglich mit Hitler sympathisiert, seinem Aufstieg zur Macht Vorschub geleistet und sein Renommee innerhalb und außerhalb Deutschlands gefestigt haben."
52,Who would dare to brand all these ladies and gentlemen of high society as war criminals?,"Und wer würde auch wagen, alle die Herrschaften der guten Gesellschaft als Kriegsverbrecher zu brandmarken?"
53,And as a matter of fact they really do not deserve such a title.,"Sie sind es wirklich nicht; sie haben zweifellos ihre Unfähigkeit, moderne politische Gruppierungen zu beurteilen, unter Beweis gestellt - die einen, weil sie Prinzipien in der Politik für baren moralisierenden Unsinn hielten, die anderen, weil sie für Gangster, die sie mit »Seeräubern« verwechselten, eine romantische Vorliebe hegten."
54,"Unquestionably they have proved their inability to judge modern political groupings, some of them because they regarded all principles in politics as moralistic nonsense, others because they were affected by a romantic predilection for gangsters whom they confused with “pirates” of an older time.",
55,"Yet these people, who were co-responsible for Hitler’s crimes in a broader sense, did not incur any guilt in a stricter sense.","Schuldig im engeren Sinne haben sie, die Verantwortlichen im weiteren Sinne, sich zumeist nicht gemacht."
56,"They, who were the Nazis’ first accomplices and their best aides, truly did not know what they were doing nor with whom they were dealing.  ","Sie, die der Nazis erste Komplizen und ihre besten Helfershelfer waren, wußten wahrlich weder, was sie taten, noch mit wem sie es zu tun hatten."
57,"The extreme horror with which particularly persons of good will react whenever the case of Germany is discussed is not evoked by those irresponsible co-responsibles, nor even by the particular crimes of the Nazis themselves.","Die ungeheure Erregung, in die nachgerade jeder Mensch guten Willens gerät, wenn die Rede auf Deutschland kommt, hat ihren Grund weder in der Existenz jener verantwortungslos Verantwortlichen, über die vermutlich nur die Geschichte ihr Urteil sprechen wird, noch in den Taten der Nazis selbst."
58,"It is rather the product of that vast machine of administrative mass murder, in whose service not only thousands of persons, not even scores of thousands of selected murderers, but a whole people could be and was employed:","Sie ist vielmehr erzeugt von jener ungeheuerlichen Maschine des »Verwaltungsmassenmordes«, zu deren Bedienung man nicht Tausende und nicht Zehntausende ausgesuchter Mörder, sondern ein ganzes Volk gebraucht hat und gebrauchen konnte."
59,"In that organization which Himmler has prepared against the defeat, everyone is either an executioner, a victim, or an automaton, marching onward over the corpses of his comrades-chosen at first out of the various storm troop formations and later from any army unit or other mass organization.","In der Organisation, die Himmler für die Niederlage etabliert hat, gibt es nur noch Exekutoren, Opfer und Marionetten, welche über die Leichen ihrer Kameraden, die man früher beliebig aus jeder SA-Kolonne und heute aus jedem Truppenteil und aus jeder anderen Massenformation herausschießen kann, weitermarschieren."
60,"That everyone, whether or not he is directly active in a murder camp, is forced to take part in one way or another in the workings of this machine of mass murder-that is the horrible thing.","Daß in dieser Mordmaschine jeder auf diese oder jene Weise an einen Platz gezwungen ist, auch wenn er nicht direkt in den Vernichtungslagern tätig ist, macht das Grauen aus."
61,"For systematic mass murder-the true consequence of all race theories and other modern ideologies which preach that might is right-strains not only the imagination of human beings, but also the framework and categories of our political thought and action.","Denn der systematische Massenmord, der die reale Konsequenz aller Rassentheorien und aller Ideologien von dem »Recht des Stärkeren« in unserer Zeit ist, sprengt nicht nur die Vorstellungskapazität des Menschen, sondern auch den Rahmen und die Kategorien, in welchen politisches Denken und politisches Handeln sich vollziehen."
62,"Whatever the future of Germany, it will not be determined by anything more than the inevitable consequences of a lost war-consequences which in the nature of the case are temporary.","Wie auch immer das künftige Schicksal Deutschlands aussehen wird, es wird nie mehr enthalten können als die unseligen Folgen eines verlorenen Krieges; und solche Folgen sind der Natur der Sache nach temporär."
63,"There is no political method for dealing with German mass crimes, and the destruction of seventy or eighty million Germans, or even their gradual death through starvation (of which, of course, nobody except a few psychotic fanatics dream), would simply mean that the ideology of the Nazis had won, even if power and the rights of might had fallen to other peoples.  ","Eine politische Antwort auf diese Verbrechen gibt es in keinem Fall; denn eine Ausrottung von 70 oder 80 Millionen Deutschen oder auch nur eine langsame Aushungerung, an die natürlich niemand außer ein paar psychotischen Fanatikern denkt, würde auch nur bedeuten, daß die Ideologien der Nazis gesiegt hätten, wenn auch die Macht und das »Recht des Stärkeren«, sie zu praktizieren, auf andere Völker übergegangen sind."
64,"Just as there is no political solution within human capacity for the crime of administrative mass murder, so the human need for justice can find no satisfactory reply to the total mobilization of a people for that purpose.","Wie an dem »Verwaltungsmassenmord« der politische Verstand des Menschen still steht, so wird an der totalen Mobilisierung für ihn das menschliche Bedürfnis nach Gerechtigkeit zu schanden."
65,"Where all are guilty, nobody in the last analysis can be judged.","Wo alle schuldig sind, kann im Grunde niemand mehr urteilen."
66,"For that guilt is not accompanied by even the mere appearance, the mere pretense of responsibility.","Denn dieser Schuld gerade ist auch der bloße Schein, die bloße Heuchelei der Verantwortung genommenDaß die aus Deutschland Geflüchteten, welche entweder das Glück hatten, Juden zu sein oder rechtzeitig von der Gestapo verfolgt zu werden, von dieser Schuld bewahrt worden sind, ist natürlich nicht ihr Verdienst."
67,,"Weil sie dies wissen, und weil sie noch nachträglich ein Grauen vor dem Möglichen packt, bringen gerade sie in alle derartigen Diskussionen jenes unerträgliche Element der Selbstgerechtigkeit, das schließlich, bei Juden vor allem, nur in der vulgären Umkehr der Nazi-Doktrinen über sie selbst enden kann und ja auch längst geendet hat.."
68,"So long as punishment is the right of the criminal-and this paradigm has for more than two thousand years been the basis of the sense of justice and right of Occidental man-guilt implies the consciousness of guilt, and punishment evidence that the criminal is a responsible person.","Solange die Strafe das Recht des Verbrechers ist - und auf diesem Satz beruht seit mehr als zweitausend Jahren das Gerechtigkeits- und das Rechtsempfinden der abendländischen Menschheit -, gehört zur Schuld ein Bewußtsein, schuldig zu sein, gehört zum Strafen eine Überzeugung von der Verantwortungsfähigkeit     des Menschen."
69,"How it is in this matter has been well described by an American correspondent, in a story whose dialogue is worthy of the imagination and creative power of a great poet.   ","Wie es mit diesem Bewußtsein durchschnittlich bestellt ist, hat ein amerikanischer Korrespondent in einer Geschichte geschildert, deren Frage- und Antwortspiel wohl der Einbildungs- und Gestaltungskraft eines großen Dichters wert wäre:  "
70,Q. Did you kill people in the camp?,Frage: Habt Ihr Leute im Lager getötet?
71,A. Yes. 	 ,Antwort: Ja. 	
72,Q. Did you poison them with gas?,Frage: Habt Ihr sie mit Gas vergiftet?
73,A. Yes. 	 ,Antwort: Ja. 	
74,Q. Did you bury them alive?,Frage: Habt Ihr sie lebendig begraben?
75,A. It sometimes happened. 	 ,Antwort: Das kam manchmal vor. 	
76,Q. Were the victims picked from all over Europe?,Frage: Wurden die Opfer aus ganz Europa aufgegriffen?
77,A. I suppose so. 	 ,Antwort: Das nehme ich an. 	
78,Q. Did you personally help kill people?,"Frage: Haben Sie persönlich geholfen, Leute zu töten?"
79,A. Absolutely not.,Antwort: Durchaus nicht.
80,I was only paymaster in the camp. 	 ,Ich war nur Zahlmeister im Lager. 	
81,Q. What did you think of what was going on?,Frage: Was dachten Sie sich denn bei diesen Vorgängen?
82,A. It was bad at first but we got used to it. 	 ,"Antwort: Zuerst war es schlimm, aber wir gewöhnten uns daran. 	"
83,Q. Do you know the Russians will hang you?,"Frage: Wissen Sie, daß die Russen Sie aufhängen werden?"
84,A. (Bursting into tears),Antwort (in Tränen ausbrechend):
85,Why should they?,Warum sollten sie das?
86,What have I done?     ,Was habe ich denn getan?  
87,Really he had done nothing.,Er hat in der Tat nichts getan - er hat nur Befehle ausgeführt.
88,He had only carried out orders and since when has it been a crime to carry out orders?,"Und seit wann war es ein Verbrechen, Befehle auszuführen?"
89,Since when has it been a virtue to rebel?,Seit wann war es eine Tugend zu rebellieren?
90,Since when could one only be decent by welcoming death?,"Seit wann konnte man nur ehrlich sein, wenn man in den sicheren Tod ging?"
91,What then had he done?  ,Was also hat er getan?  
92,"In his play, “The Last Days of Mankind” about the last war, Karl Kraus rang down the curtain after Wilhelm II had cried, “I did not want this.”","In seinem Stück Die letzten Tage der Menschheit, in welchem er die Vorgänge des letzten Krieges darstellte, ließ Karl Kraus den Vorhang fallen, nachdem Wilhelm II. ausgerufen hatte:"
93,,»Dies habe ich nicht gewollt.«
94,And the horribly comic part of it was that this was the fact.,"Und das komisch Grauenhafte lag darin, daß dies in der Tat stimmte."
95,"When the curtain falls this time, we will have to listen to a whole chorus calling out, “We did not do this.”","Wenn der Vorhang diesmal fallen wird, werden wir einem ganzen Chor von Spießern zu lauschen gezwungen sein, die ausrufen werden: »Dies haben wir nicht getan.«"
96,"And even though we shall no longer be able to appreciate the comic element, the horrible part of it will still be that this is the fact.   ","Und wenn uns auch inzwischen das Lachen vergangen ist, das Grauenhafte wird wieder darin liegen, daß es in der Tat stimmt."
97,III  ,III
98,"In trying to understand what were the real motives which caused people to act as cogs in the mass murder machine, we shall not be aided by speculations about German history and the so-called German national character, of whose potentialities those who knew Germany most intimately had not the slightest idea fifteen years ago.","Um zu wissen, welches die eigentliche Triebfeder im Herzen der Menschen ist, durch die sie in die Maschine des Massenmords einzuschalten waren, werden uns Spekulationen über deutsche Geschichte und den sogenannten deutschen Nationalcharakter, von dessen Möglichkeiten die besten Kenner Deutschlands vor 15 Jahren noch nicht die leiseste Ahnung hatten, wenig nutzen."
99,There is more to be learned from the characteristic personality of the man who can boast that he was the organizing spirit of the murder.,"Aufschlußreicher ist die eigentümliche Figur dessen, der sich rühmen kann, das organisatorische Genie des Mordes zu sein."
100,"Heinrich Himmler is not one of those intellectuals stemming from the dim No Man’s Land between the Bohemian and the Pimp, whose significance in the composition of the Nazi élite has been repeatedly stressed of late.","Heinrich Himmler gehört nicht zu jenen Intellektuellen, welche aus dem dunklen Niemandsland zwischen Boheme- und Fünfgroschen-Jungen-Existenz stammen und auf dessen Bedeutung für die Bildung der Nazi-Elite in neuerer Zeit wiederholt hingewiesen ist."
101,"He is neither a Bohemian like Goebbels, nor a sex criminal like Streicher, nor a perverted fanatic like Hitler, nor an adventurer like Goering.",Er ist weder ein Bohemien wie Goebbels noch ein Sexualverbrecher wie Streicher noch ein pervertierter Fanatiker wie Hitler noch ein Abenteurer wie Goering.
102,"He is a “bourgeois” with all the outer aspect of respectability, all the habits of a good paterfamilias who does not betray his wife and anxiously seeks to secure a decent future for his children; and he has consciously built up his newest terror organization, covering the whole country, on the assumption that most people are not Bohemians nor fanatics, nor adventurers, nor sex maniacs, nor sadists, but, first and foremost jobholders, and good family men.  ","Er ist ein Spießer mit allem Anschein der Respectability, mit allen Gewohnheiten des guten Familienvaters, der seine Frau nicht betrügt und für seine Kinder eine anständige Zukunft sichern will."
103,,"Und er hat seine neueste, das gesamte Land umfassende Terror-Organisation bewußt auf der Annahme aufgebaut, daß die meisten Menschen nicht Bohemiens, nicht Fanatiker,     nicht Abenteurer, nicht Sexualverbrecher und nicht Sadisten sind, sondern in erster Linie ›jobholders‹ und gute Familienväter."
104,"It was Péguy, I believe, who called the family man the “grand aventurier du 20e siècle.”","Es war, glaube ich, Péguy, der den Familienvater den »grand aventurier du 20e siècle« genannt hat; er ist zu früh gestorben, um in ihm noch den großen Verbrecher des Jahrhunderts zu erleben."
105,He died too soon to learn that he was also the great criminal of the century.,
