,de,en
50,"Prävention muß unsere Antwort auf derartige Katastrophen sein, und mit dem vorliegenden Richtlinienentwurf schaffen wir eine wichtige Grundlage dafür, daß gut ausgebildete Sicherheitsbeauftragte zur Verfügung stehen, damit rechtzeitig das Richtige getan wird.","Prevention has to be our answer to disasters of this kind and this draft directive is an important step towards well-trained safety advisers being available, so that the right action is taken in good time."
51,"Wir dürfen uns freilich nicht damit begnügen, europäisches Recht im Dienste von mehr Sicherheit zu schaffen.","All the same, we must not content ourselves with enacting European law to ensure greater safety."
52,"Wir müssen auch konsequent darauf achten, daß unsere Vorgaben fristgerecht durch die Mitgliedstaaten umgesetzt werden, und noch wichtiger, wir müssen darauf achten, daß sie anschließend auch angewendet werden.",We also need to follow this up and make sure that our rules are transposed by the Member States in good time and - even more importantly - we need to ensure that they are also applied afterwards.
53,"Bitte nicht noch einen weiteren Bereich, in dem wir dann anschließend das Vollzugsdefizit beklagen müssen.",Please let this not be yet another sector where we subsequently have to lament the lack of enforcement.
54,"Einen letzten Punkt möchte ich noch ansprechen: Wir dürfen uns nicht damit begnügen, eine weitere Lücke im Sicherheitsnetz zu schließen und die Augen davor zu verschließen, daß beim Thema Verkehrssicherheit in Europa noch viel mehr zu tun ist.","I should like to address one final point. We must not content ourselves with sealing another hole in the safety net and shutting our eyes to the fact that, where transport safety in Europe is concerned, there is still much more to be done."
55,"Ich verlange in diesem Zusammenhang auch und bitte die anwesende zuständige Kommissarin, möglichst bald einen entsprechenden Text vorzulegen, um auch in Zukunft für mehr Sicherheit im Tunnelverkehr zu sorgen, damit wir in Europa solche Katastrophen nicht mehr in diesem Ausmaß erleben müssen!","In this context, I should like to make a request and ask the Commissioner responsible, who is with us here today, to table an appropriate text as soon as possible with a view to continuing to make it safer for traffic to transit tunnels in the future, so that we in Europe do not have to experience any more such disasters on this scale."
56,"Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen! Ich möchte zuerst dem Kollegen Koch zu seinen Berichten gratulieren, die vielleicht technische Berichte sind, aber für die Sicherheit von sehr großer Bedeutung sind.","Mr President, Commissioner, I should first like to congratulate Mr Koch on his reports which, though technical, are nonetheless of very great significance for safety."
57,Ich möchte nur wenige Anmerkungen machen.,I should like to make just a few comments.
58,"Zuerst möchte ich die Frau Kommissarin bitten - und ich bin überzeugt, daß mein Wunsch auf fruchtbaren Boden fällt -, daß man der Frage der Sicherheit, ob auf der Straße, auf den Wasserwegen oder auf dem Meer, erhöhte Aufmerksamkeit schenkt.","Firstly, I should like to ask the Commissioner - and I am convinced that my request will fall on fertile ground - to ensure that more attention is paid to the issue of safety, be it on the roads, on the waterways or at sea."
59,"Wenn ich sehe, daß der erste Antrag der Kommission am 19. März 1998 gestellt wurde und wir uns heute damit beschäftigen - wobei das Parlament relativ rasch reagiert hat -, dann ist dieser Zeitraum etwas zu lang.","Considering that it is only today that we are dealing with a Commission proposal first made on 19 March 1998, even though Parliament responded relatively quickly, this time lag is a little too long."
60,"Das ist jetzt nicht allein die Schuld der Kommission, aber ich glaube, daß wir rascher reagieren müssen, um hier auch zu einer Harmonisierung zu kommen.","This is not just the fault of the Commission, but I believe that we need to take action more quickly so as to achieve harmonisation in this area as well."
61,Der zweite Punkt wurde bereits erwähnt: die Mindestnormen.,My second point has already been mentioned: it concerns the minimum standards.
62,"Ich bin grundsätzlich der Meinung, daß wir in vielen Verkehrsbereichen erhöhte Flexibilität und länderweise Regelungen anstreben sollten.","In principle, I believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules."
63,"Bei der Sicherheit bin ich schon etwas skeptisch, weil sich die Sicherheit etwa in Schweden im Grundsatz nicht von der in Deutschland, Italien oder Österreich unterscheidet.","However, when it comes to safety, I am rather sceptical because safety in Sweden, for example, is in principle no different from safety in Germany, Italy or Austria."
64,"Ich kann mit diesen Mindestnormen leben, aber ich bitte die Kommission, die Dinge wirklich aufmerksam zu verfolgen.","I can live with these minimum standards, but I would ask the Commission to monitor the situation very carefully."
65,"Falls diese Art der Flexibilität zu ungenügenden Regelungen in einigen Ländern führen sollte, dann sollten wir eine weitere Harmonisierung vornehmen.",Should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater harmonisation.
66,Der dritte Punkt wurde auch schon erwähnt.,My third point has also been mentioned already.
67,"Ich komme ja ähnlich wie der Kollege Rack aus einem Transitland, wo diese Frage eine besondere Rolle spielt.","As you know, like Mr Rack, I come from a transit country, where this issue plays a particularly important role."
68,Wir wollen die Wettbewerbsbedingungen nicht einseitig für einige Länder verschlechtern und für Länder wie Österreich oder andere Transitländer verbessern.,We do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries such as Austria or other transit countries.
69,"Aber ich glaube, daß wir alles unternehmen sollten, um den Transport gefährlicher Güter so gering wie möglich zu halten, und zwar in allen Ländern, ob Transitländer oder nicht.","But I believe that we should do all we can to keep the transport of dangerous goods to a minimum, in all countries, whether they are transit countries or not."
70,"Herr Präsident, verehrte Frau Kommissarin, liebe Kolleginnen und Kollegen! Die am 1. Januar 1997 in Kraft getretene Richtlinie zur Angleichung von Rechtsvorschriften der Mitgliedstaaten für Gefahrguttransporte auf der Straße beinhaltet einige Übergangsvorschriften, deren Gültigkeit befristet und an den Abschluß bestimmter Normungsarbeiten des CEN, also des Europäischen Komitees für Normung, gekoppelt ist.","Mr President, Commissioner, ladies and gentlemen, the directive on the approximation of the laws of the Member States with regard to the transport of dangerous goods by road, which entered into force on 1 January 1997, contains a number of transitional provisions which are only valid for a limited period of time, the term of validity being linked to the completion of specific standardisation work by the CEN, that is the European Committee for Standardisation."
71,Aufgetretene Verzögerungen bei den Arbeiten des CEN führen nun zu Problemen bei der Anwendung eben dieser Richtlinie.,Delays in the CEN' s work are now making it difficult to apply this very directive.
72,Insbesondere können Anhänge nicht entsprechend der technischen und industriellen Entwicklung angepaßt werden.,"In particular, annexes cannot be adapted to take account of technical and industrial developments."
73,"Ich bedauere dies, denn wir müssen tätig werden, weil andere ihre Arbeit nicht gemacht haben.",I regret this since we are having to take action because others have not done their job.
74,Insofern akzeptiere ich den vorliegenden und heute zur Diskussion stehenden Vorschlag zur Änderung der Richtlinie 94/55/EG.,"In this respect, I accept this proposal to amend Directive 94/55/EC which has been tabled for discussion today."
75,"Ein Nichttätigwerden der Europäischen Union würde die Mitgliedstaten verpflichten, ihre innerstaatlichen Rechtsvorschriften für einen kurzen Zeitraum, nämlich bis zum Abschluß der Arbeiten des CEN, zu ändern, was unnötige Kosten und Verunsicherungen verursacht.","Should the European Union fail to take action, then Member States would be obliged to amend their national legislation for a very brief period, until the CEN completes its work, which would cause unnecessary cost and uncertainty."
76,Die auf der heutigen Tagesordnung stehende Änderung der Richtlinie bewirkt also keine Änderung der in der Gemeinschaft bestehenden Harmonisierung der Gefahrguttransporte.,The amendment to the directive on today's agenda does not therefore affect the existing harmonisation of the transport of dangerous goods in the Community.
77,"Sie verlängert lediglich Übergangsregeln durch das Verschieben von Terminen, sie streicht nicht mehr zutreffende Bestimmungen, und sie regelt die Verfahren für a) Ad hoc-Beförderungen gefährlicher Güter sowie b) den Erlaß weniger strenger nationaler Vorschriften, insbesondere bei der Beförderung sehr geringer Gefahrgutmengen auf lokal streng begrenzten Gebieten.","It merely prolongs transitional rules by postponing deadlines, deletes provisions which are no longer applicable, and lays down the procedures for a) carrying out the ad hoc transportation of dangerous goods and b) enacting less stringent national regulations, in particular for the transport of very small amounts of dangerous goods within strictly defined local areas."
78,Somit liegt die Änderung der Richtlinie ganz im Sinne der Subsidiarität; die Mitgliedstaaten erhalten mehr Befugnisse.,The amendment to the directive is consequently in full accordance with the principle of subsidiarity; the Member States obtain more powers.
79,"Die EU-Kommission entscheidet, ob die Mitgliedstaaten bestimmte eigene Vorschriften erlassen können.",The Commission decides whether the Member States may impose certain rules of their own.
80,Sie wird dabei von einem Expertenausschuß für Gefahrguttransporte nach dem Regelungsverfahren unterstützt.,"In so doing, it is supported by a committee of experts on the transport of dangerous goods under the regulatory procedure."
81,Die Modalitäten für die Ausübung dieser der Kommission übertragenen Durchführungsbefugnisse wurden durch Ratsbeschluß vom Juni 1999 neu geregelt.,The procedures for the exercise of these implementing powers conferred on the Commission were laid down afresh in the Council Decision of June 1999.
82,Der heute zur Diskussion stehende Vorschlag für eine Änderung der Richtlinie betreffend Gefahrguttransporte auf der Straße stammt jedoch vom Mai 1999 und konnte somit das aktuelle Komitologieverfahren noch nicht berücksichtigen.,"The proposal to be discussed today, to amend the directive on the transport of dangerous goods by road, dates from May 1999, however, and could not therefore take account of the latest comitology procedure."
83,Die eingereichten und vom Ausschuß einstimmig angenommenen Änderungsanträge beziehen sich in zwei Fällen auf eben dieses veränderte Komitologieverfahren.,Two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure.
84,"Wir möchten sicherstellen, daß hierauf bereits in den Erwägungsgründen hingewiesen wird und die uneindeutig formulierte Frist, innerhalb der der Rat eine Entscheidung treffen muß, auf maximal drei Monate fixiert wird.",We would like to ensure that there is a reference to this as early as the recitals and that the period within which the Council has to make a decision - which is not clearly worded - is set at a maximum of three months.
85,Darüber hinaus wird auf die Notwendigkeit einer verstärkten Transparenz hingewiesen.,"In addition, the need for greater transparency has been pointed out."
86,"Ein weiterer Änderungsantrag erlaubt es den Mitgliedstaaten, schärfere Forderungen, insbesondere für Vakuumtanks, zu erlassen, wenn vorrangig bei Temperaturen weit unter minus 20º C gearbeitet bzw. transportiert wird.","A further amendment allows the Member States to impose more stringent requirements, in particular for vacuum tanks, if work is done or goods are transported as a priority in temperatures well below -20ºC."
87,Dies liegt im besonderen Interesse nordeuropäischer Regionen.,This is in the special interest of northern European regions.
88,"Ein letzter Änderungsantrag soll bewirken, daß die Nutzung der zwischen dem 1. Januar 1997 und dem Inkrafttreten dieser Richtlinie in Betrieb genommenen Tanks und Tankfahrzeuge auch weiterhin erlaubt ist, wenn sie entsprechend konstruiert und gewartet worden sind.",A final amendment is intended to ensure that tanks and tankers put into service between 1 January 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it.
89,"Gleichwohl wissend, daß dies nur ein kleiner Schritt zu mehr Verkehrssicherheit ist, bitte ich Sie um die Zustimmung zu diesem Bericht.","I do realise that this is only a small step towards increased transport safety, but I would ask you to endorse this report."
90,"Herr Präsident, wenn Sie erlauben, möchte ich Ihnen erst einmal meinen Respekt dafür ausdrücken, wie Sie vorhin während der Debatte den fliegenden Wechsel im Vorsitz vollzogen haben.","Mr President, with your permission I should like to begin by expressing my admiration for the way in which you executed the quick changeover of the chairmanship just now during the debate."
91,Ich fand das ganz hervorragend.,I thought that it was quite superb.
92,"Zum Thema: Ich denke, die Bürger Europas müssen sich darauf verlassen können, daß das, was auf Europas Straßen, Schienen usw. transportiert wird, wenn es denn auch noch gefährliche Güter sind, so sicher wie möglich ist.","On the subject at hand, I think that the people of Europe must be able to be confident that the goods - however dangerous they are - which are transported on Europe's roads, railways, and so on are as safe as possible."
93,Diese Richtlinie ist ein Beitrag dazu.,This directive is a contribution to this.
94,"Das, was wir heute machen, ist im Grunde genommen ein Ärgernis.",What we are doing today is essentially a nuisance.
95,"Der Berichterstatter Koch, dem wir unseren Dank für seine Arbeit, die er dabei geleistet hat, aussprechen, hat darauf hingewiesen, daß im Grunde genommen alles schon etwas weiter sein könnte, wenn es nicht dieses Versäumnis der CEN gäbe, die in der Erstellung und dem Angleichen der Richtlinie sehr säumig sind.","The rapporteur, Mr Koch, to whom we express our thanks for the work which he has done on this, has already pointed out that basically everything could have been somewhat more advanced had it not been for the inactivity on the part of the CEN, which has been very dilatory in drawing up and adapting the directive."
96,"Deswegen können wir nur hoffen - und wir sollten das in dieser Woche alles beschließen -, daß wir dann 2001 endlich gemeinschaftliche Regelungen für den Gefahrguttransport auf der Straße haben, so daß wir hier ein Stück Rechtssicherheit und auch ein Stück mehr Sicherheit auf unseren Straßen haben.","That is why we can only hope - and we should resolve all of this this week - that, in 2001, we will finally have Community regulations for the transport of dangerous goods by road so that we have a degree of legal certainty here and also so that our roads are a good deal safer."
97,"Frau Kommissarin, Herr Präsident! Ich danke zuerst Herrn Koch für seinen Bericht, den ich exzellent finde und dem ich auch nicht allzuviel hinzufügen möchte.","Commissioner, Mr President, I would first like to thank Mr Koch for his excellent report, which I do not have a great deal to add to."
98,"Ich möchte bei dieser Gelegenheit nur darauf hinweisen, daß nicht nur in Indien, woher ich gerade komme, sondern auch in der EU der Gefahrentransport nach wie vor große Probleme mit sich bringt.","I would like to take the opportunity just to point out that the transport of dangerous goods continues to cause major problems, not just in India, where I have just come from, but also within the EU."
99,Wir brauchen nur an den schweren Unfall im Mont-Blanc-Tunnel vor etwa einem Jahr zu denken - auch der Tauerntunnel gehört dazu.,"We only have to think of the serious accident in the Mont Blanc Tunnel about a year ago, not to mention the one in the Tauern Tunnel."
100,"Wir merken, daß es immer dort, wo es Naturschwierigkeiten gibt - Nebel, Stürme, Kälte - und vor allem auch in den Engpässen in den Alpen immer noch zu großen Problemen in diesem Zusammenhang kommen kann.","We observe that there is always a possibility of major problems of this kind occurring where nature gives rise to troublesome phenomena such as mist, storms or cold weather, particularly in the narrow Alpine passes."
101,"Ich plädiere generell dafür, daß gefährliche Güter mehr auf die Schiene verlegt werden.","In general, I would urge that the transport of dangerous goods is transferred more to rail."
102,In diesem Zusammenhang muß präventiv bei der Planung zukünftiger Stränge - Schiene oder auch Autobahn - bereits die richtige Lösung für die Zukunft eingeplant werden.,"In this context, when planning future railway tracks or motorways, a preventative approach should be taken and the appropriate long-term solution built into the process early on."
103,"Denken wir an den Brenner-Basistunnel, der noch nicht hintergründig diskutiert wurde.","I would remind you of the Brenner base tunnel, which has not been touched on even indirectly."
104,"In diesem Zusammenhang möchte ich auch darauf hinweisen und die Kommission bitten, das ernst zu nehmen, daß die Verkehrsproblematik zu den Schlüsselfragen der EU gehört.","While I am on the subject, I would also like to point out that transport problems are one of the key issues facing the EU and call on the Commission to give due attention to this."
105,"Wir müssen viel intensiver und nachhaltiger über Transportvermeidung, über Schwerverkehr auf die Schiene, über road pricing und Privatisierung der Schiene reden, um die Funktionalität zu verbessern.","We need to have much more probing and vigorous debate on cutting-down on transport, heavy rail traffic, road pricing and railway privatisation, with a view to improving functionality."
106,"Wenn ich bedenke, daß die Osterweiterung einige Probleme mehr bringen wird, dann wird uns allen klar, daß die Glaubwürdigkeit der EU in Zukunft auch daran gemessen wird, ob und wie wir den Verkehr geregelt bekommen.","Considering that enlargement towards the East will create a few more problems, then it becomes clear to us all that the future credibility of the EU will depend on whether, and in what manner, we succeed in sorting out the transport situation."
107,"Herr Präsident, ich möchte nicht nur dem Kollegen Koch, sondern auch der Vizepräsidentin der Kommission dafür danken, daß sie sich so klar und eindeutig zur Sicherheit im Verkehrsbereich und zur Priorität der Sicherheit bekannt hat.","Mr President, I would like to thank not only Mr Koch, but also the Vice-President of the Commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority."
108,"Der Kollege Koch hat seinen guten Bericht gemacht, weil im CEN und auch im Rahmen der Wirtschaftskommission der Vereinten Nationen die Arbeit nicht so expeditiv gemacht wurde.",The reason Mr Koch produced his sound report was because the work in the CEN and within the United Nations Economic Commission was proceeding none too expeditiously.
109,"Ich möchte die Vizepräsidentin fragen, ob sie uns heute sagen kann, wie der Stand der Dinge bei den Harmonisierungsbestrebungen dieser beiden Organisationen ist, und ob die EU die Möglichkeit hat, die Harmonisierungsbestrebungen nach möglichst einfachen Prinzipien zu beschleunigen.","I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible."
