,es,en
23,"Señora Presidenta, ¿se ha contabilizado mi voto, que no ha podido ser realizado electrónicamente, porque no tengo la tarjeta?","Madam President, has my vote been counted? I was unable to vote electronically, since I do not have a card."
24,"Mi voto era ""a favor"" .","My vote was ""in favour"" ."
25,"Señora Presidenta, la Presidencia ha proclamado el resultado de la votación.","Madam President, the Presidency has already declared the result of the vote."
26,No caben modificaciones.,There is no room for amendments.
27,". Señor Presidente, en primer lugar quiero felicitar al ponente, Sr. Koch, por su magnífico trabajo y por su positiva colaboración con la Comisión a la hora de mejorar los textos, de presentar este informe y esta propuesta; al final, sólo hay una enmienda relativa a los requisitos del examen de aptitud de los consejeros de seguridad para el transporte de mercancías peligrosas por carretera, ferrocarril o vía navegable.","Mr President, I would firstly like to congratulate the rapporteur, Mr Koch, on his magnificent work and his positive cooperation with the Commission with regard to improving the texts and presenting this report and this proposal; in the end there is only one amendment on the requirements for the aptitude examination for safety advisers in the transport of dangerous goods by road, rail or inland waterway."
28,"Entendemos que es importante la colaboración, el trabajo en común por parte de las dos instituciones -Parlamento y Comisión- y que la colaboración que existe con la Comisión de Política Regional, y concretamente con el grupo de transportes, es magnífica.","We understand that it is important that the two institutions - Parliament and Commission - cooperate and work together and that the current cooperation with the Committee on Regional Policy, and in particular the transport group, is magnificent."
29,"La posición común incluye prácticamente todas las enmiendas aceptadas por la Comisión, armoniza los requisitos mínimos de los exámenes de los consejeros de seguridad y, en segunda lectura, podemos aceptar la enmienda sobre la fecha propuesta, mucho más realista que la planteada en principio por la Comisión, teniendo en cuenta que ya llevamos varios años debatiendo sobre esta cuestión.","The common position includes practically all of the amendments accepted by the Commission and harmonises the minimum examination requirements for safety advisers and, at second reading, we can accept the amendment on the proposed date, which is much more realistic than the one originally suggested by the Commission, bearing in mind that we have now spent several years debating this question."
30,"Brevísimamente, quiero agradecer también la intervención de los distintos diputados y decirles a sus Señorías que la seguridad es una prioridad de la Comisión en el ámbito de los transportes.","Very briefly, I would like to thank the various Members for their interventions and to tell you that safety is one of the Commission' s priorities in the field of transport."
31,"Y como muy bien ha dicho el Sr. Simpson, nunca se puede dar por sentado o por adquirido o por culminado el proceso.","As Mr Simpson has said very correctly, this is a process which we can never take for granted or regard as having come to an end."
32,"El proceso de incrementar los márgenes, las garantías de seguridad en los transportes es un proceso que hay que ir mejorando día a día.",The process of increasing safety margins and safety guarantees in transport is a process which must be improved day by day.
33,"En ese sentido, quiero referirme también muy brevemente a los problemas de los túneles, a que han hecho referencia los Sres. Rack y Swoboda, que, indudablemente, en el caso de Austria, es un asunto muy sensible, por lo que hay que hacer esfuerzos para ver cómo incrementar su seguridad.","In this regard, I would also like to refer very briefly to the problems of the tunnels, which Messrs Rack and Swoboda have referred to, which, in the case of Austria, is doubtless a very sensitive issue, and great effort should be made to improve their safety."
34,"En uno de los grandes accidentes ocurridos últimamente, la mercancía transportada no era en sí peligrosa.","In one of the worst accidents to have occurred recently, the goods being transported were not dangerous in themselves."
35,"La margarina y unos kilos de pintura que, en principio, no planteaban riesgos, provocaron una verdadera catástrofe.","Margarine and a few kilos of paint which, in principle, do not present risks, led to a genuine disaster."
36,"Por lo tanto, hay que ver cómo se pueden afinar todavía más las exigencias que permitan garantizar un máximo de seguridad.","Therefore, we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved."
37,"Por último, quisiera decir que hay que contemplar la seguridad en todos los tipos de transporte.","Finally, I would like to say that we have to consider safety in all types of transport."
38,"Esta semana celebraremos aquí un debate para hablar de la seguridad del transporte marítimo, debido a la catástrofe del Erika, y tendremos que discutir, a lo largo de este año, sobre los objetivos, en materia de seguridad, del transporte aéreo.","This week we will be holding a debate here on the safety of sea transport, in light of the Erika disaster, and in the course of this year we will have to discuss our objectives in terms of the safety of air transport."
39,"Pero quiero decir, Señorías, que la seguridad es un objetivo prioritario de la Comisión.",But I would like to say that safety is a priority objective for the Commission.
40,"Como diré en el debate sobre el Erika, no esperamos a que haya una catástrofe para volcarnos sobre el aspecto de la seguridad, sino que trabajamos en ello al margen de esas circunstancias, que lo único que hacen es mostrar la urgencia de una respuesta eficaz a ese tipo de problemas.","As I will say in the debate on the Erika disaster, we do not wait until there is a disaster to deal with the question of safety, but we work on it even when there are no such circumstances, which simply serve to demonstrate the urgency for an effective response to this type of problem."
41,"Quiero reiterar mi agradecimiento a todos los que han intervenido y muy especialmente al ponente, Sr. Koch.","I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch."
42,". Señor Presidente, de nuevo reitero mi felicitación al Sr. Koch por su trabajo en este otro informe, que de alguna manera viene a completar el debate que tuvimos en el mes de octubre sobre el transporte por ferrocarril.","Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport."
43,Todos lamentamos que el Comité Europeo de Normalización (CEN) no haya sido capaz de llevar a cabo en el tiempo requerido la modificación de disposiciones necesaria para una armonización adecuada en el ámbito de la Unión Europea.,"We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union."
44,Este debate y la modificación de la directiva actualmente en vigor nos permiten incorporar hechos diferenciales que hablan de la diversidad de nuestra Europa.,This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours.
45,"Hace un momento el Sr. Vatanen nos hablaba de temperaturas inferiores, no ya a los 20 grados bajo cero, sino a los 40 grados bajo cero.","A moment ago, Mr Vatanen spoke to us of lower temperatures, not of 20 degrees below zero, but of 40 degrees below zero."
46,"Por supuesto aceptamos esa enmienda, tiene toda la razón, y creo que hay que incorporar circunstancias concretas que hablan de la variedad climática de la Unión Europea, que se traduce a veces en especificidades y en requisitos concretos a la hora de contemplar normalizaciones o caracterizaciones de tipo técnico.","Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature."
47,"Quiero decir, respecto a lo manifestado por el Sr. Swoboda en cuanto a la actividad del CEN, que estamos urgiéndoles a que aceleren al máximo su trabajo porque sería dramático que, a pesar del nuevo plazo, nos encontráramos dentro de un año y pico ante las mismas dificultades por no haberlo concluido.","I would like to say, with regard to Mr Swoboda' s comments on the activity of the CEN, that we are urging them to speed up their work as much as possible because it would be terrible if, despite the new deadline, we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded."
48,"Por último, señor Presidente, ya han sido señalados los problemas fundamentales que justifican esta modificación de la directiva, nos hemos referido al retraso del CEN, a la modificación de algunas disposiciones, a la coherencia entre el texto de la directiva y el contenido de los anexos, a la necesidad de aportar una mayor precisión.","Lastly, Mr President, the basic problems justifying this amendment of the directive have been pointed out. We have referred to the delay by the CEN, the amendment of certain provisions, the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific."
49,"Todas las aportaciones de la comisión parlamentaria y del ponente, Sr. Koch, que se han traducido en distintas enmiendas, concretamente en cuatro, son recogidas por la Comisión.","The Commission accepts all of the contributions of the parliamentary committee and the rapporteur, Mr Koch, which are contained in the various amendments, specifically four."
50,"Aceptamos, pues, las cuatro enmiendas que nos han sido propuestas.",We therefore accept the four amendments which have been proposed.
51,". Señor Presidente, señor Comisario, Señorías, la propuesta presentada por la Comisión, cumpliendo el mandato que tiene, es un punto de partida razonable para la Comisión de Agricultura y Desarrollo Rural.","Mr President, Commissioner, the proposal presented by the Commission, in accordance with its mandate, is a reasonable starting point for the Committee on Agriculture and Rural Development."
52,"Pero a mí me gustaría resaltar aquí que este punto de partida nos indica los desafíos ante los que nos encontramos: mantener la población en las zonas rurales, ante los cambios que se están produciendo en todo tipo de actividades económicas debido a la creciente pérdida de peso del sector agrícola entre las diversas fuentes de renta de la sociedad rural.","I would like to point out, however, that this starting point indicates to us the challenges which face us: maintaining a population in rural areas, given the changes taking place in all types of economic activity owing to agriculture' s increasing lack of importance amongst the various sources of income for rural society."
53,"Esto, unido a las deficiencias en las redes de infraestructuras y servicios, y a una oferta de empleo generalmente muy escasa y a lo sumo estacional y poco diversificada, acentúan el éxodo de las zonas rurales.","This, as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment, which furthermore is seasonal and lacks diversity, exacerbates the exodus from rural areas."
54,Las consecuencias no se hacen esperar.,The consequences do not inspire hope.
55,"Son los jóvenes los que desaparecen, los que adquieren formación y encuentran empleo fuera de las zonas rurales, lo cual incide desfavorablemente en estas mismas zonas.","It is the young people who are disappearing, who are getting an education and finding work outside of the rural areas, all of which has an unfavourable effect on those areas."
56,Esta falta de infraestructuras es un obstáculo también para la implantación de empresas y para la creación de empleos.,This lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs.
57,Hay que tener en cuenta que el espacio rural representa casi las cuatro quintas partes del territorio de la Unión Europea.,We have to remember that rural areas represent almost four fifths of the territory of the European Union.
58,"La agricultura solamente proporciona un 5,5% del empleo de esta misma Unión.",Agriculture only provides 5.5% of employment in the Union.
59,"Además, las tres cuartas partes de nuestros agricultores lo son a tiempo parcial y necesitan complementos eficaces a sus rentas.","Furthermore, three quarters of our farm workers are part-time and require supplements to their incomes."
60,"Por esta razón, uno de los objetivos más importantes y trascendentales que deberíamos fijarnos en la Unión Europea es desarrollar esfuerzos para crear nuevos puestos de trabajo en las zonas rurales, fuera del sector agrario, en sectores como el turismo rural, el deporte, la cultura, la recuperación de patrimonio, la implantación, la transformación de empresas, las nuevas tecnologías, los servicios, etc. No obstante, si bien el papel de la agricultura no es exclusivo, sigue siendo esencial no solamente para evitar la desintegración económica y social de las zonas rurales y la creación de otras ciudades fantasma, sino también porque los agricultores desempeñan un papel fundamental en la gestión del territorio, en la preservación de la biodiversidad y en la protección del medio ambiente.","For this reason, one of the most important and essential objectives which we should set in the European Union is to make efforts to create new jobs in rural areas, outside of the agricultural sector, in sectors such as rural tourism, sport, culture, heritage conservation, the conversion of businesses, new technologies, services, etc. However, even though the role of agriculture is not exclusive, it is still essential, not only to prevent economic and social disintegration and the creation of ghost towns, but also because farmers play a fundamental role in managing the land, in preserving biodiversity and in protecting the environment."
61,"Por lo tanto, defendemos el establecimiento de una política agrícola y de desarrollo rural coherente con los objetivos que hemos marcado y que las zonas rurales, en los albores del siglo XXI, deben ser competitivas y multifuncionales, tanto en el aspecto agrícola como abriéndose a la diversidad de actividades no agrícolas.","Therefore, we support the establishment of an agricultural and rural development policy which is consistent with the objectives we have set. We want rural areas, at the dawn of the 21st century, to be competitive and multi-functional, both with regard to agriculture and with regard to opening up to the diversity of non-agricultural activities."
62,"Es importante primar criterios generales de ordenación del territorio y de equilibrio poblacional, y tener en cuenta las conclusiones a las que la Comisión de Agricultura y Desarrollo Rural ha llegado en cinco aspectos fundamentales, que han sido recogidos solamente en parte por la Comisión de Transportes, Política Regional y Turismo en sus puntos 16 y 17.","It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17."
63,"Concluyendo, yo pediría a la Comisión que estos cinco puntos sean tenidos en cuenta a la hora de establecer las conclusiones de los cuatro pilares porque entiendo que, para la Unión Europea, la fijación de la población en el medio rural debe ser uno de los objetivos prioritarios.","In conclusion, I would ask the Commission to take these five points into account when establishing the conclusions on the four pillars because I believe that, for the European Union, maintaining the population in rural areas must be one of the priority objectives."
64,"Señor Presidente, señor Comisario, queridos colegas, yo quisiera empezar mi intervención agradeciendo el trabajo que ha hecho la Sra. Schroedter, ponente.","Mr President, Commissioner, I would like to begin by thanking Mrs Schroedter, the rapporteur, for her work."
65,Creo que es un trabajo muy bien realizado.,I think that this work has been carried out extremely well.
66,"Y además, también le quiero agradecer su voluntad de diálogo con el resto de los grupos políticos a la hora de llegar a fórmulas de compromiso ante esa avalancha de enmiendas, quizás más de las que se esperaban, pero que realmente responden a la importancia del informe del que estamos hablando.",I would also like to thank her for her willingness to enter into dialogue with the other political groups when compromise formulas have needed to be reached in the face of this avalanche of amendments - and perhaps there are more of them than we expected - but which genuinely reflect the importance of the report we are now discussing.
67,"Para nosotros es importante que las conclusiones que se aprueben en este Parlamento sean tenidas en cuenta por la Comisión, como mínimo en su espíritu, porque a la altura en que estamos pudiera parecer que estamos haciendo aquí un ejercicio inútil, puramente retórico.","We feel that it is important that the Commission takes account of the conclusions adopted by this Parliament, at least in spirit, because at this stage, it might seem as though what we are doing here is a useless exercise, and nothing but hot air."
68,"Pero la verdad es que nosotros creemos, y eso se refleja también en la letra de las conclusiones, que la Comisión debe tener en cuenta lo que se apruebe en este Parlamento, fundamentalmente de cara a la revisión de estas directrices a mitad de período.","The truth of the matter though is that we believe - and this is also shown in the way the conclusions have been drafted - that the Commission must take account of what is adopted by this Parliament, particularly in the face of an interim revision of these directives."
69,"En nuestras enmiendas hemos fijado la importancia que para nosotros tiene el que se produzcan las necesarias sinergias entre los Fondos estructurales, el Fondo de Cohesión y las iniciativas comunitarias, de forma que su aplicación se vea reflejada de manera óptima, de la manera más rentable, en la progresiva eliminación de desigualdades entre regiones y en la creación de puestos de trabajo que, en definitiva, son los dos propósitos fundamentales de los fondos de los que estamos hablando.","In our amendments, we have stated the importance of the necessary synergies being produced between the Structural Funds, the Cohesion Fund and Community initiatives, so that their application should be reflected, in the best and most profitable way, by the gradual elimination of disparities between regions and by the creation of jobs which are, when all is said and done, the two central purposes of the funds we are discussing."
70,"Y para conseguir un impulso más rápido y eficaz en la consecución de estos objetivos, creemos que es preciso que participen en esta iniciativa los generadores de empleo, los verdaderos emprendedores y los que de verdad garantizan las nuevas fuentes de empleo, que son los empresarios.","In order to achieve a more rapid and efficient boost for attaining these objectives, we think that those who generate employment, the real entrepreneurs and those who really guarantee new sources of employment, that is, businesspeople, must participate in this initiative."
71,Sobre todo los pequeños y medianos empresarios tienen que participar en la distribución de estos fondos.,"Small and medium-sized businesses, above all, need to take part in the distribution of these funds."
72,"Si no es así, si los empresarios se sienten marginados, si los empresarios no pueden participar, no digo ya solamente en la gestión, sino en la recepción de estos fondos, habremos perdido una oportunidad de alcanzar nuestros objetivos de manera más rápida.","If they do not, if businesspeople feel marginalised, if entrepreneurs cannot take part, not only in managing but also in receiving these funds, we will have missed an opportunity to attain our objectives more rapidly."
73,"También, para conseguir nuestros objetivos, para conseguir superar las desigualdades entre regiones y buscar fuentes de empleo es importante apostar decididamente por las nuevas tecnologías, por las redes de transportes y de comunicaciones y por las energías renovables.","Also, in order to attain our objectives, to overcome the disparities between regions and to seek out sources of employment, it is crucial to give our complete support to new technologies, to transport and communications networks and to renewable energies."
74,"Y todo ello -insisto- con la participación de la empresa privada que, uniendo sus esfuerzos al de las administraciones públicas, complementándose y nunca obstruyéndose o excluyéndose, es la que creará riqueza social y puestos de trabajo.","All of this must be done - I repeat - with the participation of private business, which, by uniting its efforts with those of public administrations, but complementing them, never obstructing or excluding them, will lead to the creation of wealth in society and of jobs."
75,"Señor Presidente, no deberíamos olvidar que el objetivo principal y estratégico de los Fondos estructurales y de cohesión, y de su coordinación, es conseguir la cohesión económica y social.","Mr President, we should not forget that the main, strategic objective of the Structural and Cohesion Funds and of their coordination is to achieve economic and social cohesion."
76,Nosotros tenemos la obligación de participar en la elaboración de las directrices y también en la evaluación de los resultados.,We are obliged to participate in drafting directives and also in assessing their results.
77,"Y ello porque somos los representantes de los ciudadanos en la Europa de los Ciudadanos, y no sólo en una Europa de los Estados y de las Regiones.",We are obliged to do so because we are the representatives of the citizens in a Europe of Citizens and not just in a Europe of States and of Regions.
78,Constatamos que los Fondos son una condición necesaria pero no suficiente para conseguir la cohesión económica y social.,We feel that the Funds are a necessary but insufficient condition for achieving economic and social cohesion.
79,"Si tomamos como único indicador el producto interior bruto por habitante, podemos equivocarnos.",We might be mistaken in using the gross domestic product per inhabitant as the sole indicator.
80,"Ya algunos colegas han hablado del paro, del descenso de la demografía.",Some speakers have already mentioned unemployment and the fall in population.
81,Habrá que estudiar unos cuantos indicadores que nos permitan ver el estado y la evolución de sociedades regionales que están en peor situación que otras.,"We will have to study several indicators, which will enable us to see the current state of regional societies that are in a worse situation than others, and how they are evolving."
82,En algunos informes presentados hoy ante el Pleno del Parlamento queda claro que las 25 regiones europeas más prósperas tienen cinco veces menos paro que las 25 regiones menos prósperas.,It is clear from some of the reports that have been presented to Parliament' s plenary sitting today that Europe' s 25 most prosperous regions enjoy a level of unemployment which is five times lower than in the 25 least prosperous regions.
83,"Esto obliga al Parlamento Europeo, al Sr. Comisario y a la Comisión a actuar de forma decidida y estratégica.","This fact means that the European Parliament, the Commissioner and the Commission must act decisively and strategically."
84,"Estoy de acuerdo en que el Parlamento Europeo no ha tenido ocasión -o no se le ha dado, por ser el final de la legislatura- de hablar sobre las directrices.","I agree that the European Parliament did not have the opportunity - or that it was not given the opportunity, as we had reached the end of the parliamentary term - to discuss the directives."
85,Pero no creo que el informe llegue tarde.,"I do not think, however, that this report has come too late."
86,Necesitamos de una reflexión conjunta para que los nuevos programas del Objetivo 1 y los planes de desarrollo regional que se han elaborado antes de que las directrices sean operativas puedan ser sometidos a una revisión y a una verdadera valoración.,"We need to consider it together, so that the new Objective 1 programmes and the plans for regional development, which have been drafted before the directives come into force, can be submitted for revision and proper assessment."
87,"Es necesario que se coordinen los programas de los diferentes objetivos. Todos coincidimos en pedir que a mitad del recorrido de estos programas, cuando se produzca la evaluación de las directrices, el Parlamento pueda ser coprotagonista, porque somos los representantes de los ciudadanos.","We all agree that we should ask that, halfway through these programmes, when the assessment of the directives is made, Parliament should be given an equally influential role on the grounds that we are the citizens' representatives."
88,"Los ciudadanos no pueden aceptar que la Unión Europea tome decisiones de una forma, al menos aparentemente, burocrática.","Our citizens cannot accept that the European Union takes decisions in a way that is, at least on the face of it, bureaucratic."
89,"Necesitan que funcione la dimensión política, que haya responsabilidades, que haya comunicación con los ciudadanos.","They need to see the political dimension working, to see that officials accept their responsibilities and that there is communication with the citizens."
90,Eso es lo que pedimos hoy al Sr. Comisario.,This is what we are today asking the Commissioner for.
91,"Yo quiero pensar que él estará de acuerdo, desde su anterior experiencia de Presidente regional, en proponer unos indicadores y una estrategia a favor de la cohesión económica y social y no solamente de la productividad.","I would like to think that, given his previous experience as a regional President, he will agree to propose indicators, and a strategy, which will favour economic and social cohesion and not just productivity."
92,"Señor Presidente, señor Comisario, en la Comisión de Empleo y Asuntos Sociales mantuvimos el criterio unánime de que tenía carácter estratégico y prioritario apoyar las intervenciones de los Fondos estructurales y de cohesión que trabajaran por una mejor oportunidad de empleo para los desempleados y por una igualdad entre hombres y mujeres.","Mr President, Commissioner, in the Committee on Employment and Social Affairs, we upheld unanimously the criterion that it was of strategic importance and a matter of priority to support the interventions of the Structural and Cohesion Funds which are working for a better opportunity for jobs for the unemployed and for equality between men and women."
93,"Lamentablemente, el excelente informe Schroedter no ha tomado en consideración este criterio a pesar de que son múltiples las evidencias -y lo vamos a ver posteriormente en el informe Berend- de cómo, efectivamente, estos Fondos están ayudando espléndidamente a las regiones más retrasadas a cubrir la distancia que les separa de las regiones más desarrolladas de Europa.","Unfortunately, the excellent Schroedter report did not take account of this criterion, despite the fact that there is considerable evidence to show - as we shall see later in the Berend report - how, in fact, these funds are providing splendid assistance to the most backward regions in order to bridge the gulf that separates them from Europe' s most highly-developed regions."
94,"Están creciendo, pero a niveles de PIB.","They are growing, but only in terms of GDP."
95,"Están creciendo en competitividad, pero no llega a todos el incremento de la riqueza porque no se incrementa el empleo y persiste la diferencia de oportunidades de empleo en unas y otras regiones.",They are increasing in competitiveness but they are not all experiencing an increase in wealth because there is no increase in employment and there are still differences in employment opportunities between regions.
96,"Señor Comisario, lea usted la opinión de la Comisión de Empleo y Asuntos Sociales y concédale carácter prioritario, porque éste es el gran problema de los ciudadanos.","Commissioner, please read the opinion of the Committee on Employment and Social Affairs and treat it as a matter of priority, because this is our citizens' greatest problem."
