,pl,en
16,"Napad Niemiec hitlerowskich na Polskę 1 września 1939 roku był kolejnym aktem przemocy w stosunku do mojej ojczyzny, w której przez 6 lat wojny zginęło 6 milionów Polaków, 17 procent z 35-milionowego wtedy narodu.","More than six million Poles perished during the ensuing six years of war. This represented 17% of Poland's population, which amounted to 35 million individuals at the time."
17,"W rocznicę agresji apeluję w imieniu poległych i żyjących o zaprzestanie przemocy, która niekiedy przypomina realizację planów jakich nieudało się osiągnąć w ciągu wojen.","On the anniversary of the invasion of Poland and on behalf of the living and the dead, I call for an end to this violence, which could be construed as an attempt to achieve objectives it proved impossible to attain through war."
18,Panie Przewodniczący! Chciałbym przede wszystkim złożyć wyrazy głębokiego współczucia rodzinom wszystkich ofiar klęski żywiołowej w Grecji i w innych krajach.,"Mr President, I should like to begin by expressing my sincere condolences to the relatives of all the victims of the natural disasters in Greece and in other countries."
19,Łączę się w bólu z tymi osobami.,My heart bleeds for them.
20,"Sam zostałem dotknięty klęska powodzi dziesięć lat temu, więc wiem, co to znaczy.","I was myself affected by a disastrous flood 10 years ago, so I am very well aware of what is involved."
21,Klęski niestety będą się zdarzać.,"Unfortunately, disasters will continue to happen."
22,Tym większe znaczenie ma w tej sytuacji powołanie europejskich sił szybkiego reagowania.,The establishment of a European Rapid Reaction Force is therefore particularly necessary.
23,Jestem gorącym zwolennikiem jak najszybszego powołania takiej formacji.,I strongly support the creation of such a force at the earliest opportunity.
24,"To zastanawiające, że właściwie bez oporów zgadzamy się na powoływanie kolejnych europejskich agencji, choć tych biurokratycznych tworów mamy już kilkadziesiąt, a tam, gdzie w grę wchodzi życie ludzkie, ciągle mamy wątpliwości.","It is strange that we express practically no opposition to the establishment of a whole series of European agencies, even though there are now several dozen bureaucratic entities of that type. When peoples' lives are at stake, however, we always express countless reservations."
25,"Czas z nimi skończyć i, na wzór ONZ-owskich ""błękitnych chełmów”, utworzyć europejskie, może ""czerwone” albo ""białe chełmy” dla obrony nie przed ludźmi, ale przed wciąż bardzo groźną naturą.",It is time to overcome the latter and set up European units modelled on the UN's so-called blue berets but wearing perhaps red or white ones instead. These units would be tasked with protecting us against the continuing threatening onslaughts of nature rather than against human beings.
26,Panie przewodniczący! W ostatni piątek przed siedzibą Komisji Europejskiej w Brukseli protestowali polscy związkowcy ze Stoczni Gdańskiej.,"Mr President, last Friday Polish trade union members from the Gdansk shipyard demonstrated in front of the European Commission's headquarters in Brussels."
27,W lipcu Komisja Europejska postawiła ultimatum dając Polsce miesiąc na przedstawienie planów redukcji mocy produkcyjnych Stoczni.,"In July the European Commission issued an ultimatum, giving Poland one month in which to submit plans to reduce the shipyard's production capacity."
28,"Komisja żąda zamknięcia dwóch z trzech pochylni, w przeciwnym razie gdański zakład będzie musiał zwrócić pomoc publiczną, jaką dostał od polskiego rządu po 1 maja 2004 roku.","The Commission is calling for the closure of two of the three slipways at Gdansk, if the shipyard is not to be required to return the State aid it has received from the Government of Poland since 1 May 2004. The EU Commissioners claim that the Commission's intention is to modernise the shipyard, not close it."
29,"Według unijnych komisarzy celem Komisji nie jest co prawda doprowadzenie do zamknięcia Stoczni, tylko jej modernizacja, jednakże tak poważne ograniczenia mocy produkcyjnej, zamknięcie aż dwóch pochylni, oznaczało by utratę rentowności zakładu oraz w praktyce likwidację wielu stanowisk pracy i w konsekwencji upadek Stoczni.","In fact, such a drastic reduction of production capacity with the closure of two out of the three slipways would make the facility unprofitable. In practical terms, it would result in the loss of a great many jobs and ultimately in the collapse of the shipyard."
30,"A Stocznia Gdańska to nie tylko zwykły zakład wytwarzający statki, dający zatrudnienie wielu osobom, ale także jeden z najważniejszych symboli współczesnej historii Polski i zjednoczonej Europy. To miejsce narodzenia ruchu Solidarność.","The Gdańsk shipyard is not, however, simply an ordinary shipbuilding facility employing a great many workers. It is also one of the most important symbols of the contemporary history of Poland and of our united Europe, namely the birthplace of the Solidarity movement."
31,"Jako Parlament Europejski powinniśmy zwrócić się z apelem do Komisji Europejskiej o znalezienie dobrego rozwiązania tej sytuacji, mającego na celu w szczególności dobro zakładu i pracowników.","The European Parliament ought to urge the European Commission to seek an appropriate solution to this situation, one that would give priority to the good of the facility and of its workers."
32,"Jako głos społeczeństwa europejskiego powinniśmy wyrazić naszą solidarność z pracownikami Stoczni, domagając się rozwiązania zapewniającego jednocześnie stabilność Stoczni, jak i poszanowanie symboli historii współczesnej Europy.","In our role as the voice of European society we should express our solidarity with the shipyard's workers, and insist on a solution ensuring both the shipyard's stability and respect for this symbol of the history of contemporary Europe."
33,w imieniu grupy UEN. - Pani Przewodnicząca! Zabierając głos w debacie poświęconej lepszemu stanowieniu prawa w Unii Europejskiej w imieniu grupy UEN chcę zwrócić uwagę na następujące kwestie.,"on behalf of the UEN Group. - Madam President, in taking the floor on behalf of the UEN Group in this debate on better law-making in the European Union, I should like to draw attention to the following issues."
34,"Po pierwsze, autorzy sprawozdania popierają proces lepszego stanowienia prawa, mający na celu zwiększenie skuteczności, wydajności, spójności i przejrzystości prawa Unii, przy czym proces ten, także moim zdaniem, powinien odbywać się przy spełnieniu następujących warunków:","Firstly, the authors advocate better law-making, aimed at increasing the efficiency, effectiveness, cohesion and transparency of Union legislation. Consequently, the process should comply with the following conditions, and I support this view:"
35,"niezbędne jest w tej sprawie wspólne działanie Rady, Komisji i Parlamentu Europejskiego;","it is essential for the Council, the Commission and the European Parliament to work together on the matter;"
36,"należy prowadzić w tej sprawie szerokie i otwarte konsultacje ze wszystkimi zainteresowanymi stronami, w tym - co chciałbym szczególnie podkreślić - przedsiębiorcami, samorządami i organizacjami pozarządowymi;","there should be broad and open consultation on the matter with all interested parties, including entrepreneurs, local authorities and non-governmental organisations, and I would like to emphasise the importance of such consultation;"
37,należy zwiększać odpowiedzialność organów wspólnotowych za proces stanowienia prawa oraz pogłębiać ogólną przejrzystość tego procesu;,Community bodies should be given more responsibility for the law-making process and the overall transparency of the process should be improved;
38,"każda ocena prawa zmierzająca do jego uproszczenia musi jednak w równym stopniu brać pod uwagę względy gospodarcze, jak również społeczne, ochrony środowiska i zdrowotne;","every assessment of legislation aimed at its simplification should, however, ascribe equal importance to economic and social issues, and take account of issues relating to health and environmental protection;"
39,wreszcie proces upraszczania prawa nie powinien prowadzić do obniżania standardów zawartych w dotychczasowym dorobku prawnym Unii.,"in addition, the process of simplifying legislation should not lead to a lowering of the standards enshrined in the Union's current acquis."
40,"Po trzecie, należy z zadowoleniem podkreślić przyjęcie przez wiosenny szczyt Rady Unii w 2007 roku decyzji o zmniejszeniu o 25% obciążeń administracyjnych wynikających z prawa Wspólnoty do roku 2012.","Thirdly, the decision taken at the 2007 Spring Council to achieve a 25% reduction of the administrative burden resulting from Union legislation by 2012 should be warmly welcomed."
41,"Należy wyrazić tylko nadzieję, że realizacja tego celu będzie bardziej realistyczna niż osiąganie celów strategii lizbońskiej.",We can but hope that this objective is more realistic and has a greater chance of being achieved than the objectives of the Lisbon Strategy.
42,"Po czwarte, należy również podkreślić, że w sprawozdaniach pojawiły się także propozycje rozwiązań alternatywnych dla wprowadzania nowego prawodawstwa, takie jak samoregulacja czy wzajemne uznawanie przepisów krajowych, a nawet opcja niepodejmowania żadnych działań prawodawczych.","Fourthly, it should also be pointed out that the reports contained proposals for alternative solutions regarding the introduction of new legislation. The former included self-regulation or mutual recognition of national provisions, and even the option of not undertaking any legislative action."
43,Wszystkie one zasługują na szczególną uwagę w sytuacji olbrzymiej inflacji prawa unijnego.,All these proposals merit detailed consideration in view of the dramatic increase in Union legislation.
44,"Pani Przewodnicząca! W ostatnich latach, co należy odnotować z zadowoleniem, w coraz większym stopniu Komisja Europejska troszczy się o jakość legislacji Wspólnoty, zarówno o jej przejrzystość i dostępność z jednej strony, jak i skuteczność oraz pozytywny wpływ na obywateli i przedsiębiorczość z drugiej.","Madam President, it is pleasing to note that in recent years the European Commission has become increasingly concerned about the quality of the Union's legislation. The Commission is striving to ensure, on the one hand, that legislation is transparent and accessible, and on the other, that it is effective and has a positive impact on the citizens and on entrepreneurship."
45,Lepsze prawo zwiększa korzyści płynące z nowoczesnej i efektywnej legislacji przy jednoczesnym minimalizowaniu kosztów jego wdrażania.,Better laws increase the benefits derived from modern and effective legislation whilst simultaneously reducing the cost of its implementation to a minimum.
46,"Komunikat Komisji z 14 listopada ubiegłego roku w sprawie oceny programu lepszego rządzenia w Unii oraz ustanowiony cel zmniejszania obciążeń administracyjnych o 25 procent do roku 2012 stanowi pierwszy istotny krok na drodze do rozwiązania problemu zarówno na szczeblu europejskim, jak i krajowym.","The Commission's communication of 14 November 2006 on a strategic review of better regulation in the European Union, together with the stated objective of achieving a 25% reduction of the administrative burden by 2012, represent a key first step on the way to resolving the problem at both European and national level."
47,Komunikat ten podkreśla także potrzebę dostarczania przez Radę i Parlament Europejski regularnych ocen wpływu głównych zmian wprowadzanych do wniosków i nadania większego znaczenia propozycjom upraszczania prawa w toku kodyfikacji i uchylaniu nieaktualnych aktów prawnych.,"The communication also emphasises the need for the Council and the European Parliament to provide regular impact assessments concerning the main changes to the proposals, and for greater importance to be attached to the proposals concerning simplification of legislation in the framework of codification and repeal of outdated legal acts."
48,W tym kontekście niezwykle ważnym jest utworzenie specjalnej Rady do spraw oceny wpływu oraz wzmocnienie wdrażania legislacji wspólnotowej poprzez działania o charakterze prewencyjnym prowadzone przez państwa członkowskie już od najwcześniejszych etapów aplikacji prawa wspólnotowego.,"In this connection, it is particularly important to set up a special Council to deal with impact assessment and strengthen implementation of Community legislation through preventive actions undertaken by Member States from the earliest stages of implementation of Community legislation."
49,Dla Parlamentu Europejskiego w toku dalszych prac na rzecz lepszego prawa kluczowym powinno być przede wszystkim włączenie się zarówno do debaty między instytucjonalnej jak i jako współ-prawodawcy do przyjęcia aktów prawnych wchodzących w zakres takiego procesu.,"As part of the ongoing work on better legislation it is crucial for the European Parliament both to become involved in the interinstitutional debate, and also to act as co-legislator in the adoption of the legal acts derived from such a process."
50,"W tym miejscu należy pokreślić szczególną uwagę nowych zasad komitologii, które wzmacniają kontrolę Parlamentu Europejskiego i Rady nad uprawnieniami wykonawczymi Komisji, przyczyniając się do upraszczania legislacji Wspólnoty.","It is important to emphasise the new principles of comitology in this House. They strengthen control by the European Parliament and Council of the Commission's executive powers, thus contributing to simplification of Community legislation."
51,"W kwestii roli Komisji instytucja ta powinna zobowiązywać, a nie tylko wzywać państwa członkowskie do sporządzania tabel korelacji, zwłaszcza w celu ułatwienia sprawdzania procesu transpozycji dyrektyw w każdym z krajów.","Regarding the role of the Commission, the latter should require rather than recommend Member States to submit correlation tables for inspection, particularly in order to facilitate checking of the process of transposition of directives in each of the Member States."
52,Należy także postulować wprowadzenie przez Komisję zrozumiałego i przejrzystego języka do składanych wniosków legislacyjnych przy zachowaniu precyzji terminologii i jasności prawnej.,"The Commission should also be urged to introduce easily comprehensible and transparent language into the legislative proposals submitted, whilst retaining legal certainty and accuracy of terminology."
53,"Pani Przewodnicząca! Dura lex - sed lex, to jedna z łacińskich maksym, którą z pewnością większość prawników doskonale kojarzy.","Madam President, dura lex, sed lex is a Latin maxim that most lawyers are probably very familiar with."
54,"Twarde prawo, ale prawo.",It translates as hard law but law nonetheless.
55,"Dziś skupiamy się nad miękkim prawem, które wyznacza pewien kierunek, ale nie jest prawnie wiążącym aktem.","Today we are focusing on soft law, which identifies a particular approach, but is not a legally binding act."
56,"Wyraża polityczne deklaracje, rezolucje, deklaracje Rady, konkluzje prezydencji, jednak postanowienia te nie są wiążące.","It is an expression of political declarations, resolutions, Council declarations, Presidency conclusions, but such provisions are not binding."
57,Może być jednak jednocześnie stosowane przez Trybunał Europejski do interpretacji przepisów.,"Soft law may also be applied by the European Court for the interpretation of provisions, however."
58,"Jest więc prawem, choć Trybunał mówi, że nawet w odniesieniu do osób, do których jest adresowane, nie ma na celu skutku wiążącego.","It is therefore a type of law, although the Court states that it is not intended to have a legally binding effect even in relation to the persons to whom it is applied."
59,W praktyce jednak sądy krajowe zobowiązane są do uwzględnienia zaleceń przy rozwiązywaniu sporów.,"In practice, however, the national courts are required to take account of recommendations when resolving disputes."
60,"Pomagają w interpretacji prawa krajowego, które zostało przyjęte, aby zagwarantować jego stosowanie lub by uzupełnić wiążące przepisy wspólnotowe.","The former assist in interpretation of national law adopted, guaranteeing its implementation and supplementing binding Community provisions."
61,"Sprawozdawca bardzo krytycznie analizuje przepisy prawa niemające mocy wiążącej, a w szczególności do uznanego za niewłaściwe ich zastosowanie przez Komisję.","The rapporteur has provided a very critical analysis of non-binding legal provisions. In particular, their implementation by the Commission is deemed inappropriate."
62,"Podkreśla, że w sytuacji gdy Wspólnota posiada władzę ustawodawczą właściwym byłoby przyjęcie aktu przez takie instytucje jak Rada, czy Parlament z uwzględnieniem zasady subsydiarności i proporcjonalności.","The rapporteur emphasises that in a situation in which the Community has legislative authority it would be appropriate for a body such as Council or the Parliament to adopt an act, taking account of the principles of subsidiarity and proportionality."
63,"Zgadzam się ze sprawozdawcą, że jedynie poprzez przyjęcie przepisów w ramach procedur instytucjonalnych i wymienionych w traktacie, można będzie zagwarantować możliwość egzekwowania i wykonalność prawa.",I agree with the rapporteur that the only way to guarantee the possibility of applying and implementing the law is by adopting provisions in the framework of institutional procedures laid down in the Treaty.
64,"Pani Przewodnicząca! Z zadowoleniem przyjąłem fakt, że po raz pierwszy inicjatywy dotyczące uproszczenia prawa zostały ujęte w programie działalności legislacyjnej i prac Komisji na bieżący rok.","Madam President, I welcomed the fact that, for the first time, initiatives concerning simplification of legislation have been included in the Commission's work and legislative programme for the current year."
65,"Uproszczenie otoczenia regulacyjnego oraz zagwarantowanie jasności, skuteczności prawodawstwa są niezbędnym warunkiem osiągnięcia celu lepszego stanowienia prawa, co ma znaczący wpływ na wysokość wzrostu gospodarczego oraz zatrudnienia, dając tym samym cenny wkład w realizację strategii lizbońskiej.","A better regulatory environment and clear and effective legislation are essential conditions for ensuring better implementation of the law. This will in turn impact on the rate of economic growth and job creation, thus making a valuable contribution to the success of the Lisbon Strategy."
66,"Nie należy również zapominać, że w wielu przypadkach dotychczasowy model stanowienia prawa wspólnotowego tworzył w społeczeństwach państw członkowskich wizerunek oddalonego aparatu biurokratycznego, niezainteresowanego rozwiązywaniem problemów oraz ułatwianiem życia zwykłym obywatelom, co skrzętnie wykorzystują eurosceptycy.","It should also be borne in mind that in many cases, the way in which Community legislation has been established to date has resulted in the emergence of a notion of a remote bureaucratic structure amongst citizens of the Member States. This structure has been perceived as being uninterested in resolving the problems experienced by ordinary people or in making their lives easier, a situation which the Eurosceptics are busy exploiting."
67,"Oczywiście uproszczenie nie może się tylko odbywać na szczeblu europejskim, ale także na szczeblu krajowym, tak aby korzyści wynikające z uproszczenia wspólnotowego nie zostały zaprzepaszczone wskutek regulacji krajowych.","Clearly, simplification cannot be confined to the European level. It must also take place at national level, so that the benefits of Community simplification are not squandered due to national regulations."
68,"Zdecydowanie przyłączam się do głosów adresowanych do Komisji Europejskiej, by monitorowała ten proces także na szczeblu krajowym.",I strongly support the calls to the European Commission urging it to monitor this process at national level too.
69,Jednakże samo uproszczenie prawa nie gwarantuje nam lepszej jego jakości.,"On its own, however, simplifying legislation does not guarantee that it will be of a better quality."
70,"Musimy odpowiedzieć sobie na pytanie, czy ""prawo miękkie” stanowi skuteczny instrument w kontekście wspólnotowym.",We need to determine whether so-called soft law does represent an effective instrument in the context of the Community.
71,"Jak wszyscy wiemy, dzisiejszy model ""prawa miękkiego” nakłada obowiązek transpozycji do systemów narodowych, a to wiąże się nie tylko z wyższymi kosztami, ale także ma poważny wpływ na jasność i skuteczność prawodawstwa na właśnie krajowym poziomie.","We are all aware that the current model of soft law imposes the requirement to undertake transposition into the national systems. Not only is this linked to higher costs, but it also has a significant impact on the clarity and effectiveness of legislation precisely at national level."
72,"Co więcej, stwarza to poważne problemy w orzecznictwie, wydłużając czas oczekiwania powodowany koniecznością kierowania zapytań prejudycjalnych do Europejskiego Trybunału Sprawiedliwości.","In addition, this leads to serious problems in the area of case-law, as it increases waiting time because of the need to address prejudicial questions to the European Court of Justice."
73,"Zgadzam się zatem ze stwierdzeniem, że ""prawo miękkie” zbyt często stanowi dwuznaczny i nieskuteczny instrument, który może mieć szkodliwy wpływ na prawodawstwo Wspólnoty i na równowagę instytucjonalną, i nie powinno być stosowane jako substytut pożądanego, a nieprzyjmowanego prawa.",I agree with the statement that so-called soft law all too often amounts to an ambiguous and ineffective instrument that can have a negative impact on Community legislation and the institutional balance. It should not be used as a substitute for desirable but unadopted legislation.
74,Nieodłącznym elementem zapewniającym wysoką jakość i skuteczność prawa wspólnotowego czy krajowego jest efektywny system oceny wpływu aktów prawnych.,An effective system of assessment of the impact of legal acts is a sine qua non for ensuring high quality and effective Community or national legislation.
75,"Wydaje mi się, że w tej materii jest cały czas wiele do zrobienia i chciałbym podkreślić przy okazji tej debaty, jak ważnym jest, aby instytucja zajmująca się przeprowadzaniem oceny skutków była całkowicie niezależna.","I believe much still remains to be done in this area, and I would like to take the opportunity provided by this debate to emphasise how important it is for the institution charged with carrying out impact assessments to be entirely independent."
76,"Lepsze stanowienie prawa musi też oznaczać włączenie Parlamentu Europejskiego zarówno do debaty międzyinstytucjonalnej, ale także jako współprawodawcy.",Better law-making must also mean the involvement of the European Parliament both in interinstitutional debate and as a co-legislator.
77,"Pani Przewodnicząca! Bardzo cieszy fakt, że zwracamy coraz większą uwagę na jakość porządnego prawodawstwa Wspólnoty Europejskiej.","Madam President, I welcome the fact that we are paying increasing attention to the quality of appropriate European Community legislation."
78,"Legislacja poddawana jest analizie w kontekście jej przejrzystości, dostępności i skuteczności.","The latter is the subject of scrutiny in terms of its transparency, accessibility and effectiveness."
79,"Należy jednak zauważyć, że lepsze stanowienie prawa obejmuje wszystkie aspekty procesu legislacyjnego, zaczynając od początkowej koncepcji do jej wdrażania i egzekwowania.","It should, however, be borne in mind that better law-making includes all aspects of the legislative process, from the initial concept through to its introduction and implementation."
80,"Dlatego mówiąc o lepszej regulacji, musimy przyjrzeć się również każdemu ze szczebli administracyjnych.","Accordingly, when discussing better regulation we should also consider every level of administration."
81,Nie można pozwolić na zbędne rozrastanie się aparatu administracyjnego i wszelkich obciążeń z tym związanych.,"The administrative structure must not be allowed to grow unnecessarily, with all the burdens that implies."
82,"Dotyczy to nie tylko administracji europejskiej, ale także tej działającej na poziomie krajów członkowskich.",This applies not only to the European administration but also to the administration at Member State level.
83,"Zatem zarówno Unia Europejska, jak i państwa członkowskie, powinny zapoczątkować ambitną strategię zmniejszenia obciążeń administracyjnych, mając na uwadze, że obciążenia te biorą swój początek zarówno w prawodawstwie europejskim jak i krajowym.","Accordingly, both the European Union and the Member States should launch an ambitious strategy to reduce administrative burdens, bearing in mind that such burdens arise out of both European and national legislation."
84,Natomiast państwa członkowskie powinny tworzyć i wprowadzać mechanizmy i programy upraszczające działania administracyjne oraz zapewnić bardziej systematyczną ocenę skutków gospodarczych i społecznych stosowania prawa wspólnotowego.,"It is incumbent on the Member States, however, to devise and implement programmes to simplify administrative actions and provide more systematic assessment of the social and economic effects of implementing Community legislation."
85,Zamykam debatę.,The debate is closed.
86,"Głosowanie odbędzie się we wtorek, 4 września 2007 r.",The vote will take place on Tuesday.
87,"Kolejnym punktem porządku dziennego jest debata nad pytaniem ustnym do Komisji dotyczącym sprawozdania z działalności Europejskich Służb ds. Zatrudnienia w latach 2004-2005: w kierunku jednolitego europejskiego rynku pracy, skierowanym przez Jana Anderssona w imieniu Komisji Zatrudnienia i Spraw Socjalnych (http://www.europarl.europa.eu/sides/getDoc.do?type=OQ&reference=O-2007-0038&language=PL"" - B6-0136/2007).","The next item is the oral question (http://www.europarl.europa.eu/sides/getDoc.do?type=OQ&reference=O-2007-0038&language=PL"" - B6-0136/2007) to the Commission by Mr Andersson, on behalf of the Committee on Employment and Social Affairs, on the EURES activity report 2005-2005: Towards a single European labour market."
88,"w imieniu grupy UEN. - Panie Przewodniczący! Obiecuję, że nie będę mówił o cyberprzestrzeni i szansach wynikających z surfowania po niej dla mieszkańców Europy Środkowo-Wschodniej, jak uczynił to mój przedmówca - pan poseł Bushill-Matthews.","on behalf of the UEN Group. - Mr President, I promise that unlike Mr Bushill-Matthews, the previous speaker, I shall not speak about cyberspace and the opportunities that navigating around it could open up for the citizens of Central and Eastern Europe."
89,W projekcie rezolucji czytamy pochwały dotyczące Europejskich Służb ds. Zatrudnienia EURES.,"The draft resolution is full of praise for EURES, the European Employment Service."
90,"Miejmy jednak świadomość, że dla niektórych obserwatorów EURES to przykład przerostu eurobiurokracji.","We should be aware, however, that for some observers EURES is an example of overgrown European bureaucracy."
91,"Przed chwilą moja koleżanka z Litwy mówiła, że zaledwie 8% Litwinów wyjeżdżających poza granice tego kraju do pracy korzystało z instrumentów proponowanych przez EURES.","As my fellow Member from Lithuania pointed out just now, barely 8% of Lithuanians who went abroad to work used the instruments offered by EURES."
92,To naprawdę bardzo mało.,This amounts to very few indeed.
93,"Być może nie jest to przerost biurokracji, ale sprawa byłaby bardziej oczywista, gdyby w końcu otwarto całkowicie europejski rynek pracy.","Perhaps this is not actually a case of overgrown bureaucracy, but the matter would be much more straightforward if the European labour market were eventually fully liberalised."
94,"Wówczas w naturalny sposób Europejczycy znajdowaliby pracę, niekoniecznie korzystając z pośrednictwa EURES.","Europeans would then be able to go job-hunting in the normal manner, and would not necessarily use EURES."
95,"Jasne, że warto wspierać wszelkie formy, także instytucjonalnego informowania o wolnych miejscach pracy dla pracowników sezonowych lub czasowych.","Of course all methods should be supported, including official information about vacant jobs for seasonal or temporary workers."
96,"Dotyczyć to powinno jednak w pierwszej kolejności obywateli państw członkowskich Unii, a dopiero w drugiej kolejności państw trzecich, w tym krajów współpracujących z Unią w ramach polityki sąsiedztwa Unii Europejskiej.","This should concern citizens of the Member States of the Union in the first instance. Citizens of third countries should come second, including nationals of countries working with the Union in the framework of the European Neighbourhood Policy."
97,"Przed dwoma laty i dwoma miesiącami, przyjmując wytyczne dla polityki zatrudnienia w państwach członkowskich podkreśliliśmy, że należy ""znieść przeszkody dla przepływu pracowników na terytorium Europy w ramach traktatów”.","Two years and two months ago, as we adopted the guidelines on employment policy in the Member States we emphasised the need to remove all obstacles to the free movement of workers in Europe as envisaged by the Treaties."
98,"Szkoda, że tego wezwania nie posłuchały Niemcy, Austria i niektóre inne państwa członkowskie, które dalej stosują - wbrew fundamentalnym swobodom tworzącym Wspólnoty Europejskie, o których mówiła moja koleżanka - bariery w zakresie dostępu do rynku pracy.","It is unfortunate that Germany, Austria and certain other Member States failed to heed that appeal and still retain barriers preventing access to the labour market. This is contrary to the fundamental freedoms on which the European Union is based, as my fellow Member stated."
99,"W końcu to nastąpi, ale szkoda straconego czasu.","Free access will eventually come about, but much time will have been wasted in the interim."
100,"Mówmy więc hic et nunc o rozwiązaniach generalnych, a nie o półśrodkach.","We should discuss general solutions hic et nunc, not half-measures."
101,Panie Przewodniczący! W tej debacie chciałbym zwrócić uwagę na dwie kwestie.,"Mr President, I should like to draw attention to two issues in the course of this debate."
102,"Po pierwsze, potrzebna jest pełna realizacja jednej z podstawowych swobód, na jakich oparty jest europejski wspólny rynek, a mianowicie swobodny przepływ siły roboczej.","Firstly, it is necessary to fully implement one of the fundamental freedoms underpinning the European single market, namely free movement of the labour force."
103,"W odniesieniu do pracowników pochodzących z nowych państw członkowskich jest on poważnie ograniczony, choćby przez Niemcy czy Austrię, co w oczywisty sposób osłabia mobilność pracowników na terytorium Unii Europejskiej.","In the case of workers from the new Member States, this freedom is being severely restricted, for instance by Germany and Austria. Clearly, this situation is detrimental to the mobility of workers across the territory of the European Union."
104,"Po drugie, potrzebne jest znaczące wsparcie, szczególnie dla nowych państw członkowskich, umożliwiające podnoszenie stopy zatrudnienia w tych krajach.","Secondly, strong support is needed, especially for new Member States, in order to bring about an increase in the employment rates in those countries."
105,"Na przykład w moim kraju - w Polsce - stopa ta wynosi 51 % dla mężczyzn i zaledwie 46 % dla kobiet, podczas gdy na przykład w Stanach Zjednoczonych czy krajach skandynawskich te wskaźniki przekraczają już 70 %.","For example, in my country, Poland, the rate is 51% for men and barely 46% for women. By way of comparison, in the United States and the Scandinavian countries, for example, these indicators already exceed 70%."
106,Kolejnym punktem porządku dziennego jest sprawozdanie sporządzone przez Jacques'a Toubona w imieniu Komisji Rynku Wewnętrznego i Ochrony Konsumentów w sprawie przeglądu jednolitego rynku: przezwyciężanie barier i niewydolnych rozwiązań poprzez lepsze wprowadzanie przepisów prawa w życie i ich stosowanie.,"The next item is the report by Jacques Toubon, on behalf of the Committee on the Internal Market and Consumer Protection, on the Single Market Review: tackling barriers and inefficiencies through better implementation and enforcement."
