,fr,en
39,"Et l' objectif est bien que ces priorités puissent contribuer à une meilleure utilisation, à une utilisation optimale, efficace, comme plusieurs d' entre vous l' ont souhaitée, des interventions communautaires, y compris, Monsieur Bradbourn, en utilisant, le moment venu, la réserve de performances qui a notamment cet objectif d' encourager à une utilisation optimale et efficace de l' argent public européen.","The objective is that these priorities should contribute to the better use, to the optimum and efficient use, as some of you have wished, of Community involvement, including, Mr Bradbourn, using, if necessary, the performance reserve which is specifically intended to encourage the optimum and efficient use of European public monies."
40,"Et quand je parle d' utilisation optimale, j' évoque aussi bien le niveau national que le niveau régional.","When I speak of optimum utilisation, I am referring both to the national and regional levels."
41,"Et donc, M. Seppänen, j' évoque bien également ici - parlant du niveau national - le lien avec le Fonds de cohésion.","And so, Mr Seppänen, I shall also mention at this point, speaking of the national level, the link with the Cohesion Fund."
42,Voilà pour l' objectif de ces orientations.,This is the purpose of these guidelines.
43,"S' agissant de leur contenu, elles s' articulent, vous le savez, Mesdames et Messieurs les Députés, autour de trois priorités stratégiques que votre rapporteur, avec beaucoup de clarté et en même temps beaucoup d' ardeur, comme je l' ai compris tout à l' heure dans son exposé, a rappelées.","Regarding their content, as you know, ladies and gentlemen of this House, they are focused on three strategic priorities that your rapporteur pointed out very clearly but, at the same time, very passionately, as I understood her presentation just now."
44,"La première priorité est celle de l' amélioration de la compétitivité des économies régionales pour créer, dans tous les secteurs, mais singulièrement dans le secteur privé, comme l' a dit M. Berend, le maximum d' emplois sérieux, solides et durables. Compétitivité des économies régionales, de toutes les économies régionales, et en particulier, Monsieur Evans, du Pays de Galles, mais pas seulement du Pays de Galles.","The first priority is to improve the competitiveness of regional economies in order to create, in all sectors, but especially in the private sector, as Mr Berend said, the maximum number of serious, worthwhile and permanent jobs, the competitiveness of regional economies, all regional economies, and in particular, Mr Evans, that of Wales, but not only of Wales."
45,"Et j' ajouterai, puisque plusieurs d' entre vous ont à l' instant encore souligné ce qui leur apparaît comme un oubli, les économies régionales des régions européennes handicapées par leur éloignement, qu' il s' agisse des régions périphériques, des régions insulaires, ou naturellement, des régions ultrapériphériques qui sont les plus éloignées.","And, because there are a number of you who have just pointed out what appeared to you to be an omission, let me also add the regional economies of the European regions handicapped by their distance from the centre, be they remote regions, island regions or, of course, the most remote regions which are, naturally, the most distant."
46,"Peut-être, à ce sujet, puis-je dire à M. Ribeiro i Castro qui m' a interpellé que, en effet, comme je l' ai écrit aux présidents de chacune de ces régions ultrapériphériques, la Commission a sollicité quelques semaines de délai supplémentaire pour publier le rapport qui est attendu d' elle.","Perhaps I may inform Mr Ribeiro e Castro, who asked me about this, that, as I wrote to the presidents of each of these most remote regions, the Commission did indeed request an extension of several weeks before publishing its anticipated report."
47,"Nous n' avons reçu, à propos des régions ultrapériphériques, les mémorandums des différents gouvernements qu' assez tardivement, mais ce n' est pas forcément une excuse, c' est une explication.","Concerning the most remote regions, it was only quite belatedly that we received the memorandums from the various governments, but this is not necessarily an excuse, just an explanation."
48,Il nous faut donc prendre ces mémorandums en considération et faire un travail extrêmement sérieux.,We must therefore take these memorandums into consideration and produce an extremely thorough piece of work.
49,"J' ai moi-même participé à une rencontre des régions ultrapériphériques le 23 novembre et nous avons estimé, au sein du Collège, qu' il nous fallait quelques semaines de plus pour aboutir à un rapport qui soit à la hauteur des problèmes extrêmement sérieux et graves et des attentes de ces régions ultrapériphériques, et je vous remercie de le comprendre.","I myself took part in a meeting of the most remote regions on 23 November and, within the College, we considered that we would need several more weeks before being able to produce a report that dealt appropriately with the extremely serious problems and lived up to the expectations of these most remote regions. I would thank you for your understanding in this matter."
50,"Voilà pour la première priorité, celle de la compétitivité des économies régionales.","So that is the first priority, the competitiveness of regional economies."
51,"La seconde, sur laquelle plusieurs d' entre vous ont insisté - M. Puerta en particulier, mais d' autres encore - je ne les mets d' ailleurs pas dans un ordre de priorité entre elles, c' est celle du renforcement de la cohésion sociale et de l' emploi, en particulier en valorisant, mieux que par le passé, les ressources humaines.","The second priority, which several of you have stressed, Mr Puerta in particular, but there were others, not that I am mentioning them in any order of priority, is the strengthening of social cohesion and of employment, particularly by raising the profile of human resources far more so than in the past."
52,"Mesdames et Messieurs les Députés, une Union européenne où l' on constate un écart moins grand entre les pays, ce qui prouve d' ailleurs l' efficacité, l' utilité du Fonds de cohésion, mais où l' on constate, dans le même temps, s' agissant du chômage - Madame le Rapporteur vous l' avez écrit - que les écarts s' accroissent entre les 15 ou 20 régions les plus riches et les 15 ou 20 régions les plus pauvres, ou les plus déshéritées, c' est une situation qui est, qui serait injustifiable et insupportable.","Ladies and gentlemen, we now have a European Union where the disparities between countries are observed to be less great, proving the effectiveness and worth of the Cohesion Fund, but where, at the same time, in relation to unemployment - as you wrote, Mrs Schroedter - an increasing gap exists between the 15 or 20 richest regions and the 15 or 20 poorest or most disadvantaged regions. This is a situation which is, as it should be, unjustifiable and intolerable."
53,"En ce qui me concerne - compte tenu de l' idée que je me fais de la construction européenne et de la politique de développement régional, en particulier - c' est une situation que je n' accepte pas, et j' ai bien l' intention, autant que je le pourrai, avec votre appui, de mettre l' ensemble des crédits dont j' ai la responsabilité, au service de cette meilleure cohésion sociale, humaine, territoriale, notamment pour qu' il n' y ait pas, ce que j' ai appelé devant vous un jour, une Europe à deux vitesses, une Europe des beaux quartiers et une Europe des banlieues pauvres.","As far as I am concerned - taking into account my own concept of the construction of Europe and regional development policy in particular - this is a situation which I find unacceptable and I have every intention, as far as possible, with your support, of dedicating all the appropriations for which I am responsible to this improved social, human and territorial cohesion, particularly in order to prevent what I once called in this House a two-speed Europe, a Europe of wealthy districts but, at the same time, a Europe of impoverished areas."
54,"Enfin, et pour répondre aux préoccupations que vous avez exprimées, les uns ou les autres - et en particulier, vous-même, Madame le Rapporteur - il est rappelé, dans ces orientations, l' importance et la définition de stratégies intégrées de développement ou de reconversion, qui donnent entre toutes ces priorités, le maximum de chance aux synergies, aux mesures qui sont prises et à l' établissement d' un partenariat décentralisé.","Finally, and in order to respond to the concerns which you have expressed in this House, particularly yourself, Mrs Schroedter, in these guidelines we recall the importance and the definition of integrated strategies, for development or redevelopment, which, of all the priorities, offer the maximum opportunity to synergy, to the measures undertaken and to the establishment of a decentralised partnership."
55,"Vous vous êtes inquiétés de ce qui pourrait apparaître comme une absence de référence à ce partenariat ; il est pourtant clairement cité à la page 5 de ces orientations, mais je veux bien rappeler - puisque vous m' y invitez - que, pour moi, ce partenariat - et j' ai été suffisamment longtemps animateur d' une région dans mon pays pour le dire sincèrement - est un outil, c' est l' effet de levier des intelligences locales, qu' elles se trouvent dans le secteur public : les élus, les secteurs socio-éducatifs, les associations, ou le secteur privé. Un partenariat décentralisé, et j' évoque naturellement à ce sujet, pour répondre à Mme Angelilli, les pactes territoriaux, qui sont l' un des moyens de ce partenariat décentralisé.","You expressed some concern about what might look like a lack of reference to this partnership, yet there is a clear reference to it on page 5 of the guidelines. However, I do wish to mention - since you have asked me to do so - that, as far as I am concerned, this partnership - and I spent long enough as a regional administrator within my own country to be able to say this most sincerely - is a tool, one used to involve local brainpower, be it in the public sector, in the form of elected representatives, the social and educational sectors, associations, or in the private sector; a decentralised partnership, and let me mention in this connection, in response to Mrs Angelilli, the territorial pacts, which are one of the means available to this decentralised partnership."
56,"Voilà les raisons pour lesquelles les orientations sont présentées selon des priorités thématiques, car elles doivent être prises en considération, au titre de chacun des objectifs, à des degrés divers selon les situations spécifiques de chacun des États membres et des régions.","These are the reasons why the guidelines are presented according to thematic priorities, since they must be taken into consideration, under each of the objectives, to different extents in accordance with the specific situations of each of the Member States and regions."
57,"Je voudrais maintenant répondre rapidement à quelques­unes des observations que vous avez faites, Mesdames et Messieurs, sur la procédure, d' abord.","I should now like to respond briefly to a few of the comments you have made, ladies and gentlemen, and firstly on procedure."
58,C' est vrai que la consultation de votre Assemblée est intervenue tardivement.,It is true that consultation with Parliament has only come about at a late date.
59,"Permettez-moi de vous rappeler que lorsque les orientations ont été adoptées par la Commission, sous la forme d' un projet, en février 1999, suivant une procédure nouvelle destinée à faciliter la présentation de commentaires sur ce texte, elles ont été immédiatement soumises par mon prédécesseur, Monica Wulf-Mathies, au Parlement.","Let me remind you that when the guidelines were adopted by the Commission, in the form of a draft in February 1999, in line with a new procedure intended to make it easier to present comments on this text, my predecessor, Mrs Wulf-Mathies, presented them to Parliament immediately."
60,"Mais compte tenu de la proximité des élections européennes, ce n' est, en effet, qu' après l' adoption définitive du texte, en juillet 1999, que votre Assemblée a pu entreprendre l' examen de ces orientations.","Due to the elections to the European Parliament taking place around this time, however, Parliament was not able to undertake its examination of these guidelines until after the text had been definitively adopted, in July 1999."
61,"Arrivant au sein de ce collège, parmi vous, je veux, Mesdames et Messieurs, vous assurer que, dans les négociations des programmes, qui n' en sont qu' à leur tout début, - M. le président Hatzidakis m' avait interrogé à ce sujet - pour la plupart des États membres, vos observations seront réellement prises en considération.","Here in this Chamber, ladies and gentlemen, among you, I wish to assure you that in the negotiations for the programmes which are only just beginning - Mr Hatzidakis asked me a question about this - as far as Member States are concerned, your observations will certainly be taken into consideration."
62,"Et je puis vous assurer, en outre que, lorsque la Commission adoptera les orientations en vue de ce qu' on appelle la révision à mi-parcours, comme le prévoit le règlement, il sera également tenu compte du point de vue de votre Assemblée, celui qui est exprimé dans ce rapport.","And let me assure you, furthermore, that when the Commission adopts the guidelines with what we call the mid-term review in mind, in line with the regulations, then the point of view of this House, as expressed in this report, will also be taken into account."
63,"Sur le fond maintenant, concernant le rôle des orientations, Madame le Rapporteur, vous avez souligné que c' est bien dans ce cadre qu' il s' agit de fournir des lignes directrices sur un certain nombre d' objectifs européens, souvent très précis.","Now to the form. On the subject of the role of the guidelines, Mrs Schroedter, you pointed out that this is the context in which guidelines on a number of European objectives, often very precise ones, should be provided."
64,"Je ne les cite pas tous : la mise en uvre de politiques intersectorielles, augmenter l' efficacité de l' usage des fonds publics, aider les différents partenaires à bâtir ensemble des programmations régionales ou nationales, etc. La Commission en prend bonne note, mais plusieurs de ces orientations ou de ces questions relèvent plutôt d' autres documents comme le Vade-mecum ou le document de travail méthodologique.","I shall not list them all, but they include implementing intersectoral policies, increasing efficiency in the use of public funds, assisting the various partners in drawing up regional or national programming together, etc. The Commission takes note of these, but several of these guidelines or these questions are related more to other documents, such as the Guide to the Reform of the Structural Funds or the methodological working document."
65,"Je voudrais, pour terminer, me concentrer sur certaines interpellations dont vous vous êtes fait l' écho, Madame le Rapporteur.","Drawing to a close, I should like to focus on a number of challenges which you reiterated, Mrs Schroedter."
66,"Je pense, par exemple, à l' idée que les orientations ne sont pas suffisamment spécifiques dans leurs recommandations.","I am thinking, for example, of the idea that these guidelines are not specific enough in their recommendations."
67,Cette affirmation de votre rapport doit être remise dans la perspective des négociations du printemps dernier.,This claim that your report makes must be seen in the context of last spring' s negotiations.
68,"La Commission s' est tenue au texte même de l' article 10 du règlement général des Fonds structurels, qui prévoit que ces orientations ont pour ambition de fournir aux États membres des orientations indicatives générales, fondées sur les politiques communautaires pertinentes et convenues.","The Commission kept to the actual text of Article 10 of the Structural Funds regulations, which stipulates that the aim of these guidelines is to provide Member States with broad, indicative guidelines on relevant and agreed Community policies."
69,"C' est le texte même que j' ai cité, entre guillemets.","I actually quoted the text itself, in quotation marks."
70,"En outre, les orientations ne peuvent pas remplacer la programmation, ni les évaluations ex ante qui doivent être l' outil servant à spécifier les priorités et l' efficacité de ces programmes.","Moreover, the guidelines may not substitute for the programming or the ex ante assessments which must be the tool used to specify priorities and the effectiveness of these programmes."
71,"Vous avez évoqué ensuite, Madame le Rapporteur, la section des orientations relatives au développement urbain et rural, en soulignant que le développement urbain ne serait pas suffisamment pris en compte.","You then mentioned, Mrs Schroedter, the section of the guidelines relating to urban and rural development, pointing out that urban development was not sufficiently taken into consideration."
72,"Au contraire, me semble-t-il.",I find the opposite the case.
73,"Je veux vous confirmer l' intérêt majeur que la Commission attache, et attachera, à cette dimension urbaine de la politique de cohésion.","I wish to confirm the great importance the Commission attaches, and shall attach, to the urban dimension of our cohesion policy."
74,J' ai d' ailleurs eu l' occasion de le dire récemment à l' ensemble des ministres chargés de la politique urbaine dans une réunion à Tampere.,"Indeed, I had occasion recently to say as much to all the ministers responsible for urban policy at a meeting in Tampere."
75,"En ce qui concerne le développement rural, que plusieurs d' entre vous ont évoqué, et notamment Mme Redondo Jiménez, les orientations correspondent bien au double objectif qu' évoque votre rapporteur : un secteur agricole fort, lié à une compétitivité accrue dans les zones rurales, mais aussi la sauvegarde de l' environnement et du patrimoine rural de l' Europe.","As regards rural development, which a number of you brought up, particularly Mrs Redondo Jiménez, the guidelines are in line with the twofold objective mentioned by your rapporteur: a strong agricultural sector linked with increased competitiveness in rural areas, but also protection of the environment and Europe' s rural heritage."
76,"Il faut cependant souligner que les orientations dont nous parlons ne concernent que les Fonds structurels, dont les objectifs 1 et 2 retiennent notamment comme priorité la diversification du monde rural.","It must, however, be stressed that the guidelines under discussion are related only to the Structural Funds, whose Objectives 1 and 2 specifically adopt the diversification of rural society as a priority."
77,"Or, s' agissant de cet équilibre du monde rural, il y a aussi, ne l' oublions pas, la nouvelle politique de développement rural, cofinancée par le FEOGA ""Garantie"", qui a pour rôle de promouvoir la réforme de l' agriculture européenne et de soutenir la dimension multifonctionnelle de l' agriculture.","And indeed, on the subject of the balance of rural society, let us not forget that there is also the new rural development policy cofinanced by the EAGGF Guarantee Section, aimed at promoting reform in European agriculture and supporting the multifunctional aspect of agriculture."
78,"Je voudrais simplement, à ce stade, dire que je souhaite son intégration dans la programmation des zones rurales de l' objectif 2, comme le FEOGA ""Orientation"" l' est pour les régions de l' objectif 1.","At this stage, I would simply like to say that I would like to see it integrated into the programming for Objective 2 rural areas, in the way that the EAGGF Guidance Section is for Objective 1 regions."
79,"En tous cas, j' ai compris, sur ce point, la vigilance de votre commission de l' agriculture et du développement rural.","In any event, I appreciate the vigilance of your Committee on Agriculture and Rural Development in this matter."
80,"Avant de conclure, je voudrais dire à M. Savary, que, demain, nous avons un débat spécifique sur les conséquences des tempêtes qui ont touché la France, l' Autriche et l' Allemagne en particulier, ces dernières semaines, en même temps que nous reparlerons, avec ma collègue De Palacio, des leçons à tirer à propos de la marée noire qui a également touché les côtes françaises.","Before concluding, I should like to tell Mr Savary that we are going to have a special debate tomorrow on the consequences of the storms which have struck France, Austria and Germany, in particular, in the last few weeks, and at the same time we shall once again be discussing, together with my fellow Commissioner, Mrs de Palacio, what lessons we might draw in the matter of the oil spillage which has also affected the coasts of France."
81,"Je me réserve donc, si vous le voulez bien, Monsieur le Député, de vous donner mon sentiment, qui rejoint en grande partie votre propre recommandation sur ce que nous pourrons faire pour lutter contre cette marée noire, avec l' objectif 2.","I shall therefore reserve the right, if you permit, sir, to give you my own opinion, which, to a great extent, matches your own recommendation regarding what action we might take to combat the oil spillage using Objective 2."
82,"Je vous rappelle que, demain, la Commission va approuver la carte de zonage d' objectif 2 de la France, pour la Suède, pour l' Autriche et pour le Luxembourg.","I shall remind you that the Commission is going to be approving the Objective 2 zoning plans for France, Sweden, Austria and Luxembourg tomorrow."
83,"Nous aurons alors un outil pour travailler, notamment dans une grande partie des départements touchés par ces tempêtes.","We shall then have an appropriate tool for working, particularly in the majority of the regions affected by the storms."
84,C' est d' ailleurs pour cette raison qu' après-demain je me rendrai personnellement dans deux départements français qui ont été gravement handicapés par ces tempêtes.,"Indeed, this is my reason for paying a personal visit the day after tomorrow to two of the French departments which have been severely disabled by the storms."
85,"En conclusion, je voudrais - en vous remerciant, Monsieur le Président, pour votre compréhension - vous remercier, Madame le Rapporteur, pour la qualité de votre travail et celui de votre commission et vous dire que je suis très heureux, au-delà de quelques différences d' appréciation sur le rôle des orientations - nous en avons parlé, j' ai tenté d' éclaircir mon point de vue - je suis très heureux du soutien que votre Assemblée apporte à l' élaboration, par la Commission, de ces orientations, qui sont soumises à l' attention des États membres pour la préparation de leurs propres programmes.","In conclusion, with thanks for your understanding, Mr President, I should like to thank you, Mrs Schroedter, for the quality of your work and that of the committee, and to tell you that I am very pleased, apart from a few differences in our assessments of the role of the guidelines. We have discussed this and I have attempted to clarify my point of view."
86,Cela ne peut que conforter ce concept fondé sur un certain nombre de bonnes pratiques tirées de l' expérience des programmes en cours 1994/1999.,"I am very pleased with the level of support offered by your House to the Commission in establishing these guidelines, which have been submitted to the Member States for information when establishing their own programmes."
87,"Cela me paraît bien augurer d' une bonne coopération entre nos deux institutions, au moment où s' engage la programmation 2000/2006, une bonne pratique de travail en commun, consolidée, Monsieur Hatzidakis, par le respect, auquel je suis très attentif, du code de conduite qui lie nos deux institutions.","This can only reinforce the concept based on a number of elements of good practice drawn from our experience of the current 1994-1999 programmes. I feel this augurs well for effective cooperation between our two institutions, at this time when programming for the period 2000-2006 is being undertaken, good joint working practice, which is, Mr Hatzidakis, backed up by something I am very attentive to: observance of the code of conduct which links our two institutions."
88,"Monsieur le Président, Monsieur le Commissaire, mes chers collègues, ce sixième rapport périodique sur la situation et l' évolution socio-économique des régions de l' Union européenne marque le franchissement d' un seuil dans l' analyse des données régionales et met en lumière les progrès qui ont été réalisés dans ce domaine depuis la parution du cinquième rapport périodique.","Mr President, Commissioner, this sixth periodic report on the social and economic situation and development of the regions of the European Union constitutes a milestone in the analysis of regional data and highlights the progress made in this area since the issue of the fifth periodic report."
89,"Cependant, j' estime que l' évocation d' une véritable convergence des niveaux de développement régionaux moyens en Europe offre une réalité un peu tronquée de la situation et, malheureusement, c' est souvent le message qui est repris dans la presse et dans certains discours.","I consider, however, that the mention of any real convergence of average regional development levels in Europe offers a somewhat over-simplified view of the situation and, unfortunately, this is often the message taken up in the press and in some speeches."
90,"Le rapport de la Commission relativise largement ce constat, notamment lorsqu' il évoque la situation socio-économique de certaines régions de l' Union qui me tiennent particulièrement à cur : je veux parler des départements français d' outre-mer et, plus généralement, des régions ultrapériphériques.","The Commission report generally relativises this observation, particularly when it refers to the social and economic situation of some regions of the Union in which I have a special interest, by which I mean the French overseas departments and, more generally, the most remote regions."
